Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	4.071710	-1.611297	639.256781	10.994996	-7.858198	-0.534009	1.229271	1.719965
0.020	3.997312	-1.607680	639.976842	11.042419	-7.943276	-0.544224	1.241182	1.725440
0.030	3.937020	-1.582173	640.616485	11.098994	-8.023972	-0.552185	1.252539	1.732549
0.040	3.900956	-1.519426	641.105058	11.171422	-8.096806	-0.556202	1.262945	1.742526
0.050	3.893097	-1.414938	641.385452	11.261652	-8.160094	-0.555512	1.272260	1.755832
0.060	3.911076	-1.275553	641.419370	11.366594	-8.214025	-0.550208	1.280601	1.772100
0.070	3.947414	-1.116659	641.191482	11.479644	-8.260207	-0.540986	1.288259	1.790361
0.080	3.991314	-0.957527	640.711446	11.593316	-8.300864	-0.528901	1.295570	1.809444
0.090	4.030588	-0.816408	640.012324	11.701775	-8.337871	-0.515139	1.302767	1.828367
0.100	4.053719	-0.706640	639.144923	11.802269	-8.371867	-0.500784	1.309854	1.846572
0.110	4.052074	-0.634472	638.169860	11.895164	-8.401704	-0.486617	1.316531	1.863950
0.120	4.021947	-0.598883	637.150430	11.983005	-8.424542	-0.473077	1.322222	1.880718
0.130	3.965792	-0.593046	636.148471	12.069277	-8.436693	-0.460431	1.326214	1.897242
0.140	3.891787	-0.606628	635.223169	12.157346	-8.434931	-0.449071	1.327869	1.913870
0.150	3.811305	-0.628099	634.430904	12.249848	-8.417663	-0.439728	1.326805	1.930840
0.160	3.734771	-0.646629	633.823874	12.348509	-8.385337	-0.433449	1.322976	1.948256
0.170	3.667448	-0.653550	633.446362	12.454287	-8.339953	-0.431308	1.316600	1.966115
0.180	3.607043	-0.643331	633.329298	12.567575	-8.284134	-0.434055	1.308029	1.984367
0.190	3.544448	-0.613965	633.485548	12.688323	-8.220436	-0.441943	1.297652	2.002938
0.200	3.467574	-0.566745	633.908908	12.816035	-8.151301	-0.454782	1.285879	2.021747
0.210	3.366638	-0.505647	634.578026	12.949660	-8.079524	-0.472051	1.273212	2.040673
0.220	3.238470	-0.436404	635.462854	13.087411	-8.008710	-0.492928	1.260296	2.059508
0.230	3.087939	-0.365192	636.528958	13.226616	-7.943207	-0.516219	1.247894	2.077928
0.240	2.926209	-0.297041	637.736643	13.363811	-7.887419	-0.540307	1.236783	2.095506
0.250	2.767106	-0.234542	639.036020	13.495214	-7.844811	-0.563225	1.227601	2.111808
0.260	2.623363	-0.177529	640.362075	13.617568	-7.817135	-0.582903	1.220737	2.126542
0.270	2.503839	-0.123823	641.634308	13.729134	-7.804246	-0.597551	1.216307	2.139713
0.280	2.411990	-0.070386	642.763729	13.830527	-7.804613	-0.606092	1.214227	2.151728
0.290	2.345564	-0.014143	643.666351	13.925023	-7.816313	-0.608463	1.214342	2.163391
0.300	2.297672	0.047783	644.278219	14.018039	-7.838111	-0.605654	1.216572	2.175774
0.310	2.259167	0.118095	644.566056	14.115840	-7.870214	-0.599420	1.221010	2.189976
0.320	2.221882	0.198987	644.530590	14.223859	-7.914456	-0.591785	1.227941	2.206855
0.330	2.181831	0.291073	644.202993	14.345209	-7.973858	-0.584537	1.237787	2.226815
0.340	2.141445	0.391931	643.636217	14.479810	-8.051751	-0.578925	1.250978	2.249688
0.350	2.109965	0.495345	642.893433	14.624188	-8.150775	-0.575638	1.267827	2.274745
0.360	2.101527	0.592319	642.036594	14.771817	-8.272093	-0.575024	1.288415	2.300775
0.370	2.131244	0.673871	641.118219	14.913850	-8.414979	-0.577378	1.312547	2.326225
0.380	2.210688	0.734368	640.177802	15.040291	-8.576836	-0.583086	1.339758	2.349393
0.390	2.344603	0.773800	639.242216	15.141576	-8.753503	-0.592511	1.369356	2.368676
0.400	2.530000	0.797983	638.328880	15.210316	-8.939645	-0.605685	1.400476	2.382834
