Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	1.780377	-1.945492	571.624715	-12.250175	6.249031	-0.154204	-1.093205	-2.143045
0.020	1.750362	-1.921216	570.977486	-12.266206	6.315857	-0.159699	-1.106148	-2.148282
0.030	1.727574	-1.909921	570.317129	-12.284374	6.379259	-0.162181	-1.118546	-2.153955
0.040	1.718513	-1.919377	569.645311	-12.306183	6.435872	-0.159499	-1.129803	-2.160324
0.050	1.728394	-1.949068	568.986528	-12.332068	6.482258	-0.150730	-1.139264	-2.167374
0.060	1.761694	-1.992080	568.387716	-12.360867	6.514954	-0.136486	-1.146217	-2.174725
0.070	1.822973	-2.040016	567.905611	-12.389835	6.530681	-0.118794	-1.149959	-2.181672
0.080	1.917031	-2.087938	567.585849	-12.415525	6.526823	-0.100533	-1.149927	-2.187427
0.090	2.047494	-2.136516	567.443354	-12.435305	6.502246	-0.084607	-1.145885	-2.191462
0.100	2.213554	-2.190487	567.453319	-12.448805	6.458133	-0.073169	-1.138091	-2.193802
0.110	2.406022	-2.254645	567.557322	-12.458529	6.398334	-0.067113	-1.127346	-2.195114
0.120	2.605298	-2.329802	567.683184	-12.469276	6.328784	-0.065922	-1.114844	-2.196520
0.130	2.783881	-2.410922	567.771421	-12.486565	6.256074	-0.067871	-1.101865	-2.199224
0.140	2.913834	-2.488256	567.796597	-12.514681	6.185799	-0.070625	-1.089439	-2.204078
0.150	2.976345	-2.550739	567.772580	-12.555101	6.121472	-0.072073	-1.078156	-2.211290
0.160	2.968785	-2.590063	567.739109	-12.605872	6.064510	-0.071116	-1.068186	-2.220364
0.170	2.905818	-2.603889	567.738038	-12.662144	6.015160	-0.068016	-1.059496	-2.230279
0.180	2.814343	-2.597158	567.792618	-12.717632	5.973684	-0.064130	-1.052089	-2.239837
0.190	2.724927	-2.581055	567.899418	-12.766423	5.941018	-0.061189	-1.046139	-2.248008
0.200	2.663414	-2.569952	568.034081	-12.804442	5.918542	-0.060536	-1.041934	-2.254168
0.210	2.645481	-2.577326	568.164818	-12.830153	5.907264	-0.062633	-1.039710	-2.258174
0.220	2.675149	-2.611910	568.264940	-12.844419	5.907052	-0.066996	-1.039489	-2.260287
0.230	2.746507	-2.675195	568.318629	-12.849735	5.916437	-0.072493	-1.041042	-2.261009
0.240	2.846999	-2.760959	568.319927	-12.849157	5.933115	-0.077827	-1.043974	-2.260902
0.250	2.960814	-2.856913	568.269065	-12.845322	5.954801	-0.082003	-1.047884	-2.260430
0.260	3.071777	-2.947827	568.170138	-12.839828	5.979929	-0.084591	-1.052489	-2.259856
0.270	3.165823	-3.018904	568.031391	-12.833040	6.007790	-0.085713	-1.057651	-2.259213
0.280	3.233335	-3.058490	567.866927	-12.824247	6.038129	-0.085773	-1.063300	-2.258319
0.290	3.271194	-3.060063	567.697462	-12.812099	6.070566	-0.085096	-1.069331	-2.256853
0.300	3.283768	-3.023967	567.547639	-12.795267	6.104290	-0.083654	-1.075556	-2.254483
0.310	3.281756	-2.958700	567.439190	-12.773165	6.138144	-0.081027	-1.081727	-2.251019
0.320	3.278577	-2.880600	567.382673	-12.746401	6.170890	-0.076632	-1.087606	-2.246526
0.330	3.285285	-2.810811	567.372511	-12.716706	6.201417	-0.070102	-1.093006	-2.241333
0.340	3.306073	-2.769683	567.388211	-12.686400	6.228891	-0.061621	-1.097818	-2.235929
0.350	3.336429	-2.770469	567.401247	-12.657671	6.253018	-0.052031	-1.102045	-2.230815
0.360	3.365031	-2.815032	567.385102	-12.631991	6.274439	-0.042653	-1.105852	-2.226352
0.370	3.378782	-2.893414	567.325630	-12.609795	6.295020	-0.034939	-1.109596	-2.222673
0.380	3.368832	-2.987240	567.228604	-12.590411	6.317744	-0.030115	-1.113791	-2.219636
0.390	3.334780	-3.075386	567.120960	-12.572141	6.346154	-0.028932	-1.119012	-2.216836
0.400	3.285073	-3.139946	567.043463	-12.552447	6.383528	-0.031543	-1.125756	-2.213666
0.410	3.233586	-3.170903	567.036160	-12.528307	6.432140	-0.037503	-1.134344	-2.209437
0.420	3.194229	-3.168337	567.122290	-12.496823	6.492853	-0.045877	-1.144877	-2.203550
0.430	3.176049	-3.141567	567.298054	-12.456007	6.565082	-0.055474	-1.157255	-2.195672
0.440	3.180720	-3.105432	567.533031	-12.405397	6.647023	-0.065196	-1.171213	-2.185846
0.450	3.202867	-3.074911	567.780301	-12.346072	6.736037	-0.074427	-1.186381	-2.174445
0.460	3.232280	-3.059914	567.990725	-12.279807	6.829171	-0.083317	-1.202338	-2.161973
0.470	3.256668	-3.061891	568.125332	-12.207601	6.923804	-0.092811	-1.218711	-2.148751
0.480	3.264216	-3.073032	568.162410	-12.128148	7.018373	-0.104431	-1.235276	-2.134627
0.490	3.245965	-3.077935	568.098623	-12.037010	7.113032	-0.119905	-1.252077	-2.118824
0.500	3.197971	-3.056947	567.945598	-11.927058	7.210038	-0.140814	-1.269495	-2.100035
0.510	3.122698	-2.990171	567.725043	-11.790339	7.313613	-0.168320	-1.288231	-2.076769
0.520	3.028902	-2.861326	567.465373	-11.620780	7.429178	-0.202918	-1.309186	-2.047839
0.530	2.929725	-2.660928	567.200349	-11.416726	7.562198	-0.244126	-1.333250	-2.012821
0.540	2.839334	-2.388523	566.967604	-11.182337	7.717036	-0.290150	-1.361107	-1.972306
0.550	2.768874	-2.053819	566.804778	-10.927367	7.896202	-0.337753	-1.393108	-1.927889
0.560	2.722741	-1.676764	566.743053	-10.665534	8.100092	-0.382561	-1.429235	-1.881899
0.570	2.696249	-1.286552	566.800081	-10.412107	8.327137	-0.419883	-1.469149	-1.836998
0.580	2.675604	-0.919130	566.975213	-10.181411	8.574244	-0.445817	-1.512278	-1.795742
0.590	2.640638	-0.612626	567.249539	-9.984687	8.837325	-0.458274	-1.557926	-1.760193
0.600	2.569874	-0.400682	567.591451	-9.828498	9.111653	-0.457452	-1.605319	-1.731615
0.610	2.446493	-0.304826	567.965659	-9.713879	9.391873	-0.445579	-1.653599	-1.710293
0.620	2.263136	-0.328307	568.341802	-9.636481	9.671832	-0.426058	-1.701763	-1.695543
0.630	2.023911	-0.454167	568.699571	-9.587863	9.944619	-0.402408	-1.748659	-1.685928
0.640	1.743208	-0.649103	569.029578	-9.557618	10.203103	-0.377391	-1.793071	-1.679635
0.650	1.442043	-0.872116	569.330826	-9.535623	10.440971	-0.352601	-1.833902	-1.674883
0.660	1.143122	-1.084695	569.605895	-9.513694	10.653907	-0.328579	-1.870400	-1.670224
0.670	0.865986	-1.258795	569.855180	-9.486314	10.840480	-0.305339	-1.902322	-1.664689
0.680	0.623578	-1.380290	570.072245	-9.450621	11.002357	-0.282961	-1.929993	-1.657794
0.690	0.421175	-1.447857	570.242718	-9.406075	11.143725	-0.261900	-1.954207	-1.649486
0.700	0.257694	-1.469007	570.347840	-9.354000	11.270078	-0.242860	-1.976001	-1.640052
0.710	0.128522	-1.455411	570.371004	-9.296960	11.386687	-0.226340	-1.996365	-1.629985
0.720	0.028557	-1.419138	570.303887	-9.238009	11.497147	-0.212210	-2.015968	-1.619840
0.730	-0.045780	-1.370651	570.149523	-9.180059	11.602427	-0.199621	-2.034980	-1.610114
0.740	-0.096227	-1.318457	569.921533	-9.125581	11.700771	-0.187363	-2.053050	-1.601200
0.750	-0.123805	-1.269634	569.639921	-9.076572	11.788481	-0.174446	-2.069462	-1.593388
0.760	-0.130445	-1.230279	569.324782	-9.034531	11.861294	-0.160523	-2.083397	-1.586885
0.770	-0.120088	-1.205358	568.990430	-9.000268	11.915889	-0.145919	-2.094216	-1.581796
0.780	-0.098804	-1.198080	568.642780	-8.973614	11.951087	-0.131264	-2.101686	-1.578076
0.790	-0.074148	-1.209238	568.281535	-8.953286	11.968439	-0.117040	-2.106076	-1.575502
0.800	-0.054106	-1.236888	567.906574	-8.937107	11.971954	-0.103305	-2.108085	-1.573693
0.810	-0.045594	-1.276473	567.526054	-8.922594	11.966877	-0.089716	-2.108604	-1.572191
0.820	-0.052219	-1.321370	567.162524	-8.907686	11.957742	-0.075763	-2.108345	-1.570570
0.830	-0.071402	-1.363850	566.853847	-8.891192	11.946309	-0.061073	-2.107476	-1.568516
0.840	-0.092136	-1.396451	566.647778	-8.872635	11.930179	-0.045678	-2.105396	-1.565811
0.850	-0.095215	-1.413533	566.591535	-8.851499	11.902702	-0.030171	-2.100755	-1.562236
0.860	-0.057174	-1.412397	566.719220	-8.826340	11.854313	-0.015740	-2.091744	-1.557445
0.870	0.042515	-1.393298	567.040606	-8.794395	11.775007	-0.004026	-2.076572	-1.550929
0.880	0.213259	-1.358238	567.534795	-8.752096	11.657287	0.003205	-2.054021	-1.542125
0.890	0.447590	-1.309335	568.151231	-8.696343	11.498693	0.004620	-2.023879	-1.530639
0.900	0.721048	-1.247811	568.818437	-8.625958	11.302974	-0.000068	-1.987097	-1.516470
0.910	0.998909	-1.174102	569.458390	-8.542674	11.079290	-0.009739	-1.945584	-1.500140
0.920	1.247798	-1.088833	570.002347	-8.451202	10.839621	-0.022015	-1.901680	-1.482661
0.930	1.447576	-0.994071	570.403097	-8.358347	10.595331	-0.033917	-1.857516	-1.465340
0.940	1.598307	-0.894261	570.640212	-8.271419	10.354271	-0.042753	-1.814501	-1.449498
0.950	1.718972	-0.796274	570.717936	-8.196436	10.119529	-0.046838	-1.773123	-1.436162
0.960	1.838333	-0.708369	570.657455	-8.136617	9.890200	-0.045816	-1.733124	-1.425832
0.970	1.982098	-0.638331	570.485544	-8.091674	9.663686	-0.040548	-1.693941	-1.418384
0.980	2.162121	-0.591485	570.222336	-8.058229	9.438418	-0.032719	-1.655217	-1.413173
0.990	2.372083	-0.569362	569.872576	-8.031310	9.215831	-0.024370	-1.617174	-1.409317
1.000	2.590762	-0.569708	569.425050	-8.006378	9.000856	-0.017481	-1.580692	-1.406046
1.010	2.790521	-0.587941	568.861788	-7.981041	8.800926	-0.013639	-1.547112	-1.402984
1.020	2.946998	-0.619301	568.173524	-7.955733	8.624083	-0.013791	-1.517861	-1.400230
1.030	3.046508	-0.660475	567.374419	-7.933191	8.476929	-0.018064	-1.494063	-1.398228
1.040	3.089374	-0.709771	566.509187	-7.917174	8.363011	-0.025708	-1.476236	-1.397537
1.050	3.088784	-0.765920	565.649020	-7.911097	8.282016	-0.035185	-1.464162	-1.398588
1.060	3.065795	-0.826510	564.876953	-7.917070	8.230057	-0.044470	-1.456965	-1.401556
1.070	3.042103	-0.887332	564.267572	-7.935473	8.201022	-0.051560	-1.453392	-1.406332
1.080	3.032957	-0.943149	563.868961	-7.965038	8.188498	-0.055112	-1.452199	-1.412569
1.090	3.042699	-0.989325	563.694461	-8.003244	8.187455	-0.054976	-1.452463	-1.419784
