Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	6.758214	-1.598083	658.085434	3.223690	11.709572	-0.365313	-1.779339	0.489859
0.020	6.633112	-1.566714	658.175761	3.221300	11.779541	-0.360443	-1.789726	0.489429
0.030	6.523570	-1.537777	658.237431	3.219339	11.848226	-0.355937	-1.799993	0.489085
0.040	6.441207	-1.513574	658.237248	3.218725	11.914332	-0.351982	-1.810036	0.488992
0.050	6.391075	-1.495774	658.144230	3.220708	11.976971	-0.348648	-1.819809	0.489362
0.060	6.370674	-1.485611	657.940672	3.226244	12.035574	-0.345872	-1.829280	0.490355
0.070	6.370904	-1.483895	657.634152	3.235155	12.089974	-0.343418	-1.838404	0.491938
0.080	6.378492	-1.490694	657.262732	3.245678	12.140833	-0.340863	-1.847181	0.493817
0.090	6.379091	-1.504948	656.889141	3.254853	12.190199	-0.337706	-1.855747	0.495495
0.100	6.360272	-1.524244	656.585548	3.259630	12.241661	-0.333639	-1.864443	0.496452
0.110	6.313884	-1.544837	656.414996	3.258108	12.299761	-0.328848	-1.873778	0.496349
0.120	6.237531	-1.562027	656.416252	3.250332	12.368741	-0.324102	-1.884283	0.495163
0.130	6.135038	-1.571087	656.596137	3.238343	12.451066	-0.320508	-1.896305	0.493202
0.140	6.015780	-1.568679	656.929421	3.225575	12.546249	-0.319051	-1.909832	0.491008
0.150	5.892825	-1.554192	657.363969	3.215858	12.650408	-0.320132	-1.924415	0.489205
0.160	5.780237	-1.530235	657.829265	3.212401	12.756801	-0.323299	-1.939227	0.488334
0.170	5.690317	-1.501856	658.247886	3.217082	12.857319	-0.327270	-1.953264	0.488734
0.180	5.631580	-1.474769	658.549691	3.230135	12.944607	-0.330246	-1.965623	0.490492
0.190	5.607723	-1.453509	658.686843	3.250170	13.014236	-0.330416	-1.975785	0.493432
0.200	5.617365	-1.440346	658.645881	3.274503	13.066176	-0.326532	-1.983794	0.497157
0.210	5.654302	-1.435265	658.452364	3.299810	13.104947	-0.318371	-1.990265	0.501146
0.220	5.708190	-1.436750	658.165057	3.322984	13.138260	-0.306932	-1.996195	0.504886
0.230	5.765766	-1.442857	657.860129	3.341882	13.174612	-0.294273	-2.002646	0.507993
0.240	5.812790	-1.452075	657.610203	3.355673	13.220844	-0.283004	-2.010438	0.510283
0.250	5.836696	-1.463677	657.465732	3.364675	13.280617	-0.275566	-2.019971	0.511764
0.260	5.829330	-1.477612	657.444778	3.369757	13.354264	-0.273517	-2.031237	0.512554
0.270	5.788690	-1.494163	657.532786	3.371524	13.439736	-0.277076	-2.043964	0.512754
0.280	5.718793	-1.513541	657.690150	3.369608	13.534010	-0.285108	-2.057809	0.512340
