Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	6.075783	0.741947	513.036763	-2.317413	2.761627	0.375367	-0.538290	-0.451705
0.020	6.150891	0.810460	512.997185	-2.289558	2.710932	0.395499	-0.528450	-0.446310
0.030	6.210786	0.875582	512.963131	-2.259423	2.663544	0.411900	-0.519247	-0.440465
0.040	6.245680	0.933086	512.942309	-2.226579	2.621750	0.421935	-0.511120	-0.434080
0.050	6.254617	0.979065	512.940586	-2.193130	2.586207	0.424818	-0.504192	-0.427560
0.060	6.244580	1.011254	512.959958	-2.162867	2.556072	0.421704	-0.498298	-0.421644
0.070	6.226552	1.030067	512.998619	-2.139281	2.529667	0.415211	-0.493114	-0.417015
0.080	6.210962	1.038483	513.053717	-2.123562	2.505228	0.408560	-0.488297	-0.413906
0.090	6.204788	1.040740	513.124626	-2.113816	2.481288	0.404552	-0.483564	-0.411950
0.100	6.210938	1.040531	513.213669	-2.106045	2.456587	0.404655	-0.478667	-0.410364
0.110	6.228975	1.039609	513.323048	-2.096291	2.429745	0.408526	-0.473337	-0.408376
0.120	6.255963	1.037595	513.449476	-2.082742	2.399244	0.414232	-0.467279	-0.405637
0.130	6.287086	1.033211	513.580161	-2.066746	2.363966	0.419159	-0.460291	-0.402419
0.140	6.316507	1.026198	513.693761	-2.052383	2.324032	0.421239	-0.452416	-0.399534
0.150	6.338697	1.018432	513.767186	-2.044961	2.281256	0.419818	-0.444025	-0.398033
0.160	6.349922	1.012944	513.784890	-2.049155	2.238750	0.415718	-0.435737	-0.398835
0.170	6.349371	1.011215	513.745118	-2.067534	2.199755	0.410557	-0.428180	-0.402444
0.180	6.339694	1.010692	513.659587	-2.099903	2.166295	0.405833	-0.421737	-0.408812
0.190	6.326679	1.004532	513.547783	-2.143553	2.138323	0.402325	-0.416382	-0.417401
0.200	6.317669	0.984027	513.430316	-2.194228	2.113832	0.400031	-0.411708	-0.427366
0.210	6.318773	0.942441	513.325097	-2.247459	2.089849	0.398539	-0.407120	-0.437824
0.220	6.332021	0.878360	513.246929	-2.299797	2.063752	0.397509	-0.402097	-0.448088
0.230	6.354205	0.797049	513.208463	-2.349517	2.034173	0.396996	-0.396364	-0.457809
0.240	6.378403	0.709267	513.220353	-2.396564	2.001178	0.397440	-0.389926	-0.466966
0.250	6.397474	0.628037	513.289761	-2.441791	1.965888	0.399411	-0.382998	-0.475714
0.260	6.407460	0.564626	513.417239	-2.485865	1.929928	0.403258	-0.375899	-0.484180
0.270	6.408958	0.525343	513.592766	-2.528415	1.894973	0.408865	-0.368964	-0.492300
0.280	6.405932	0.510207	513.793436	-2.567856	1.862458	0.415632	-0.362492	-0.499784
0.290	6.403032	0.513629	513.986381	-2.601894	1.833386	0.422691	-0.356699	-0.506219
0.300	6.403145	0.526491	514.138239	-2.628323	1.808122	0.429200	-0.351680	-0.511209
