Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	-0.866544	0.932262	554.534278	-1.763040	30.539882	0.528112	-5.507303	-0.317932
0.020	-0.946601	0.811532	554.837827	-1.786840	30.566066	0.553099	-5.509009	-0.322047
0.030	-1.016055	0.702438	555.108665	-1.813018	30.586667	0.575064	-5.510032	-0.326606
0.040	-1.068526	0.614071	555.320432	-1.843891	30.597238	0.591648	-5.509835	-0.332041
0.050	-1.102334	0.549977	555.455669	-1.881857	30.594805	0.601683	-5.508055	-0.338795
0.060	-1.119180	0.507364	555.507708	-1.928706	30.577849	0.605352	-5.504487	-0.347197
0.070	-1.121281	0.477964	555.481559	-1.984827	30.545803	0.604036	-5.498977	-0.357316
0.080	-1.108639	0.450303	555.394463	-2.048812	30.498414	0.599979	-5.491307	-0.368893
0.090	-1.077589	0.412841	555.275550	-2.117802	30.435238	0.595856	-5.481105	-0.381397
0.100	-1.020955	0.357177	555.162699	-2.188448	30.355450	0.594349	-5.467848	-0.394199
0.110	-0.929733	0.280360	555.095235	-2.258035	30.257987	0.597744	-5.450954	-0.406783
0.120	-0.796126	0.185545	555.103800	-2.325190	30.141943	0.607498	-5.429965	-0.418875
0.130	-0.617296	0.080803	555.201153	-2.389865	30.007082	0.623779	-5.404723	-0.430450
0.140	-0.398496	-0.023396	555.377393	-2.452626	29.854252	0.645113	-5.375489	-0.441614
0.150	-0.153823	-0.116965	555.601237	-2.513711	29.685572	0.668417	-5.342964	-0.452431
0.160	0.096579	-0.192305	555.827297	-2.572471	29.504325	0.689602	-5.308182	-0.462818
0.170	0.332320	-0.245411	556.007855	-2.627582	29.314598	0.704686	-5.272335	-0.472580
0.180	0.539157	-0.276207	556.105724	-2.677907	29.120835	0.710971	-5.236564	-0.481546
0.190	0.712724	-0.288488	556.104243	-2.723380	28.927506	0.707825	-5.201814	-0.489725
0.200	0.857799	-0.289600	556.012028	-2.765324	28.739063	0.696801	-5.168784	-0.497350
0.210	0.983852	-0.289799	555.861850	-2.806005	28.560098	0.681135	-5.137985	-0.504803
0.220	1.099628	-0.300981	555.702983	-2.847779	28.395403	0.664859	-5.109816	-0.512464
0.230	1.209527	-0.334439	555.586973	-2.892372	28.249569	0.651781	-5.084635	-0.520598
0.240	1.313042	-0.397769	555.550228	-2.940660	28.126127	0.644614	-5.062751	-0.529324
0.250	1.406628	-0.491983	555.600926	-2.992832	28.026586	0.644467	-5.044374	-0.538666
0.260	1.486187	-0.610304	555.717323	-3.048588	27.949932	0.650816	-5.029523	-0.548586
0.270	1.548647	-0.739516	555.858349	-3.107197	27.892878	0.661897	-5.017983	-0.558991
0.280	1.592308	-0.863409	555.980021	-3.167520	27.850797	0.675315	-5.009316	-0.569718
0.290	1.616598	-0.966821	556.048874	-3.228238	27.818918	0.688608	-5.002963	-0.580567
0.300	1.621867	-1.038786	556.047601	-3.288236	27.793318	0.699627	-4.998370	-0.591359
0.310	1.609380	-1.074104	555.974099	-3.346886	27.771351	0.706755	-4.995080	-0.601986
0.320	1.581340	-1.073505	555.838175	-3.403972	27.751579	0.709104	-4.992744	-0.612403
0.330	1.540771	-1.042873	555.658980	-3.459258	27.733512	0.706735	-4.991103	-0.622551
0.340	1.491268	-0.991937	555.462929	-3.511937	27.717493	0.700829	-4.989981	-0.632254
0.350	1.436645	-0.932702	555.280021	-3.560259	27.704741	0.693648	-4.989328	-0.641165
0.360	1.380293	-0.877695	555.137514	-3.601591	27.697401	0.688143	-4.989287	-0.648774
0.370	1.324051	-0.837957	555.052514	-3.633090	27.698458	0.687200	-4.990241	-0.654549
0.380	1.266883	-0.820791	555.026873	-3.652889	27.711439	0.692720	-4.992810	-0.658146
0.390	1.204136	-0.827864	555.047884	-3.661338	27.739916	0.704883	-4.997752	-0.659644
0.400	1.128149	-0.854652	555.095849	-3.661639	27.786759	0.721948	-5.005759	-0.659641
0.410	1.030419	-0.891914	555.154941	-3.659346	27.853195	0.740750	-5.017193	-0.659158
0.420	0.904803	-0.928810	555.220014	-3.660824	27.937929	0.757760	-5.031866	-0.659347
0.430	0.750613	-0.956389	555.293824	-3.671294	28.036770	0.770281	-5.048997	-0.661144
0.440	0.574363	-0.969880	555.376281	-3.693281	28.143158	0.777212	-5.067404	-0.665005
0.450	0.389212	-0.968964	555.453915	-3.726066	28.249645	0.779046	-5.085867	-0.670815
0.460	0.211889	-0.956344	555.498274	-3.766259	28.349959	0.777150	-5.103519	-0.677996
0.470	0.057981	-0.935818	555.476182	-3.809179	28.440929	0.772844	-5.120099	-0.685750
0.480	-0.062515	-0.911069	555.366664	-3.850516	28.523539	0.766806	-5.135983	-0.693329
0.490	-0.147540	-0.885765	555.174724	-3.887758	28.602652	0.759088	-5.152009	-0.700276
0.500	-0.202630	-0.864560	554.934529	-3.920980	28.685521	0.749594	-5.169172	-0.706566
0.510	-0.238803	-0.853749	554.701249	-3.952870	28.779641	0.738572	-5.188314	-0.712612
0.520	-0.269962	-0.860385	554.535533	-3.987978	28.890618	0.726746	-5.209877	-0.719157
0.530	-0.310313	-0.889737	554.485504	-4.031321	29.020550	0.715046	-5.233780	-0.727038
0.540	-0.371692	-0.942530	554.570846	-4.086624	29.167183	0.704193	-5.259415	-0.736898
0.550	-0.461025	-1.013922	554.773458	-4.154641	29.324101	0.694406	-5.285779	-0.748890
0.560	-0.578849	-1.095070	555.038415	-4.232210	29.482088	0.685405	-5.311720	-0.762507
0.570	-0.719750	-1.176335	555.286997	-4.312619	29.631425	0.676685	-5.336236	-0.776647
0.580	-0.874659	-1.250221	555.439954	-4.387460	29.764488	0.667920	-5.358723	-0.789907
0.590	-1.034047	-1.312591	555.444316	-4.449332	29.877788	0.659302	-5.379079	-0.801040
0.600	-1.190700	-1.362021	555.293703	-4.494248	29.972778	0.651631	-5.397644	-0.809346
0.610	-1.341133	-1.398239	555.033276	-4.522665	30.055143	0.646082	-5.415016	-0.814846
0.620	-1.485316	-1.420999	554.746228	-4.538900	30.132732	0.643692	-5.431805	-0.818194
0.630	-1.624945	-1.430262	554.526164	-4.549511	30.212813	0.644761	-5.448402	-0.820432
0.640	-1.760676	-1.427556	554.445483	-4.561553	30.299491	0.648501	-5.464828	-0.822723
0.650	-1.888961	-1.417514	554.531724	-4.581241	30.392095	0.653223	-5.480677	-0.826146
0.660	-1.999614	-1.408375	554.760487	-4.613005	30.484978	0.657095	-5.495160	-0.831531
0.670	-2.075680	-1.410698	555.066640	-4.658718	30.568736	0.659098	-5.507219	-0.839308
0.680	-2.096665	-1.434467	555.368243	-4.717141	30.632462	0.659680	-5.515703	-0.849372
0.690	-2.044709	-1.485709	555.593530	-4.784013	30.666404	0.660737	-5.519575	-0.861064
0.700	-1.911426	-1.564063	555.701606	-4.853105	30.664284	0.664933	-5.518121	-0.873329
0.710	-1.702326	-1.662322	555.691260	-4.918011	30.624683	0.674636	-5.511097	-0.885026
0.720	-1.436796	-1.768061	555.596950	-4.973896	30.551164	0.690892	-5.498800	-0.895234
0.730	-1.143745	-1.866786	555.474334	-5.018448	30.451223	0.712840	-5.482022	-0.903453
0.740	-0.854638	-1.945688	555.379965	-5.051903	30.334478	0.737806	-5.461932	-0.909630
0.750	-0.596125	-1.996992	555.352004	-5.076460	30.210642	0.762063	-5.439909	-0.914098
0.760	-0.384480	-2.019867	555.399617	-5.095435	30.087809	0.782002	-5.417326	-0.917436
0.770	-0.223718	-2.020223	555.505398	-5.112190	29.971425	0.795224	-5.395344	-0.920277
0.780	-0.108037	-2.008423	555.638137	-5.128871	29.864056	0.801150	-5.374731	-0.923060
0.790	-0.027239	-1.995726	555.767604	-5.145221	29.765763	0.800931	-5.355793	-0.925786
0.800	0.027672	-1.990722	555.872996	-5.158086	29.674713	0.796784	-5.338398	-0.927925
0.810	0.061294	-1.996913	555.942237	-5.162103	29.587864	0.791122	-5.322111	-0.928532
0.820	0.073943	-2.012005	555.965984	-5.151431	29.501799	0.785847	-5.306404	-0.926573
0.830	0.064179	-2.028855	555.933295	-5.121802	29.413768	0.782006	-5.290881	-0.921298
0.840	0.032047	-2.037553	555.833338	-5.071954	29.322667	0.779825	-5.275442	-0.912496
0.850	-0.018476	-2.028023	555.662268	-5.003878	29.229448	0.778985	-5.260290	-0.900525
0.860	-0.078597	-1.992435	555.430824	-4.921834	29.136675	0.778967	-5.245779	-0.886129
0.870	-0.135341	-1.926889	555.168114	-4.830709	29.047414	0.779340	-5.232183	-0.870134
0.880	-0.173235	-1.832154	554.919213	-4.734555	28.963969	0.779877	-5.219493	-0.853197
0.890	-0.176571	-1.713538	554.736504	-4.635994	28.886990	0.780564	-5.207335	-0.835711
0.900	-0.132096	-1.580067	554.666407	-4.536536	28.815347	0.781575	-5.195077	-0.817885
