Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	2.680919	6.392891	588.989203	3.063340	21.880322	-1.060504	-3.714894	0.520101
0.020	2.295437	6.077496	594.240672	3.044229	22.391737	-1.030720	-3.768126	0.512289
0.030	2.009924	5.745717	599.109414	3.006166	22.865036	-0.996213	-3.816504	0.501773
0.040	1.889712	5.381053	603.224679	2.934950	23.268105	-0.953679	-3.857287	0.486543
0.050	1.948913	4.969294	606.245177	2.824248	23.578850	-0.902399	-3.889326	0.465859
0.060	2.151747	4.502187	607.902515	2.676716	23.787034	-0.844532	-3.912968	0.440320
0.070	2.432363	3.982447	608.051039	2.502858	23.893620	-0.784533	-3.929542	0.411620
0.080	2.723363	3.428006	606.703236	2.318151	23.908352	-0.727849	-3.940700	0.382090
0.090	2.980270	2.872920	604.035406	2.139427	23.846660	-0.679352	-3.947891	0.354189
0.100	3.192528	2.363179	600.360733	1.981526	23.726874	-0.642120	-3.952103	0.330056
0.110	3.378943	1.947968	596.077859	1.855034	23.568266	-0.617026	-3.953891	0.311207
0.120	3.572265	1.669102	591.608511	1.765477	23.389904	-0.603243	-3.953612	0.298420
0.130	3.800760	1.552148	587.338126	1.713913	23.210029	-0.599269	-3.951732	0.291810
0.140	4.073790	1.601636	583.570683	1.698407	23.045597	-0.603793	-3.949067	0.291037
0.150	4.375484	1.801013	580.504819	1.715695	22.911816	-0.615952	-3.946878	0.295552
0.160	4.667442	2.116604	578.233296	1.762388	22.821620	-0.634994	-3.946784	0.304788
0.170	4.898775	2.504350	576.762185	1.835368	22.785149	-0.659775	-3.950528	0.318219
0.180	5.019934	2.918020	576.040749	1.931475	22.809344	-0.688476	-3.959675	0.335302
0.190	4.995740	3.317441	575.990176	2.046928	22.897774	-0.718708	-3.975376	0.355375
0.200	4.813498	3.674943	576.521175	2.177081	23.050746	-0.747904	-3.998248	0.377624
0.210	4.483929	3.978495	577.536952	2.316896	23.265715	-0.773845	-4.028437	0.401168
0.220	4.035220	4.231088	578.926394	2.462055	23.538053	-0.795191	-4.065811	0.425280
0.230	3.502819	4.447278	580.558025	2.610250	23.862073	-0.811929	-4.110196	0.449611
0.240	2.919118	4.648396	582.284903	2.761920	24.231895	-0.825555	-4.161519	0.474325
0.250	2.307274	4.857536	583.963828	2.919867	24.641561	-0.838811	-4.219707	0.500008
0.260	1.681676	5.094494	585.482910	3.087563	25.084037	-0.854845	-4.284333	0.527353
0.270	1.054484	5.370457	586.785573	3.266558	25.549418	-0.875905	-4.354132	0.556687
0.280	0.444789	5.682928	587.880555	3.453912	26.023301	-0.902016	-4.426631	0.587519
0.290	-0.114292	6.012448	588.834233	3.640774	26.486425	-0.930286	-4.498112	0.618302
0.300	-0.574510	6.323225	589.747718	3.813014	26.916213	-0.955315	-4.564022	0.646550
0.310	-0.879174	6.568908	590.723384	3.954018	27.289948	-0.970717	-4.619751	0.669352
0.320	-0.976807	6.702789	591.826896	4.048868	27.588627	-0.971175	-4.661604	0.684130
0.330	-0.838451	6.689887	593.053949	4.088459	27.800369	-0.954278	-4.687663	0.689391
0.340	-0.473187	6.517590	594.312933	4.072144	27.922564	-0.921497	-4.698293	0.685185
0.350	0.064334	6.201836	595.431378	4.008052	27.962400	-0.878013	-4.696158	0.673134
0.360	0.679357	5.786876	596.186650	3.911103	27.935820	-0.831432	-4.685751	0.656020
0.370	1.256520	5.338182	596.354351	3.799453	27.865130	-0.789837	-4.672579	0.637113
0.380	1.688740	4.929917	595.763799	3.690600	27.775585	-0.759856	-4.662181	0.619474
0.390	1.906084	4.630091	594.348192	3.598338	27.691343	-0.745351	-4.659111	0.605426
0.400	1.894348	4.487285	592.176733	3.531396	27.631431	-0.747032	-4.666079	0.596342
0.410	1.696946	4.522264	589.457858	3.493754	27.606704	-0.762893	-4.683406	0.592706
0.420	1.399998	4.726128	586.508384	3.485822	27.618856	-0.789211	-4.709030	0.594334
0.430	1.106155	5.064555	583.693236	3.505450	27.662005	-0.821693	-4.739134	0.600564
0.440	0.905526	5.486226	581.351276	3.548262	27.726382	-0.856349	-4.769299	0.610347
0.450	0.852045	5.933079	579.729022	3.607619	27.802773	-0.889829	-4.795822	0.622294
0.460	0.951356	6.350403	578.941687	3.674940	27.886082	-0.919344	-4.816734	0.634769
0.470	1.162906	6.695210	578.970171	3.740757	27.976883	-0.942525	-4.832180	0.646105
0.480	1.414833	6.941671	579.689011	3.796192	28.080697	-0.957535	-4.844097	0.654867
0.490	1.626411	7.082911	580.910568	3.834237	28.205535	-0.963384	-4.855401	0.660039
0.500	1.730624	7.129144	582.429231	3.850362	28.358725	-0.960185	-4.869042	0.661087
0.510	1.690075	7.102725	584.054938	3.842282	28.544173	-0.949101	-4.887241	0.657863
0.520	1.502529	7.031198	585.633070	3.808931	28.760863	-0.931936	-4.911072	0.650395
0.530	1.196389	6.939906	587.053181	3.748928	29.002803	-0.910469	-4.940405	0.638601
0.540	0.819496	6.845887	588.250679	3.659106	29.260117	-0.885821	-4.974090	0.622032
0.550	0.425861	6.754306	589.204564	3.533771	29.520650	-0.858067	-5.010255	0.599753
0.560	0.064375	6.657800	589.932561	3.365022	29.771401	-0.826248	-5.046577	0.570408
0.570	-0.227954	6.538357	590.483924	3.144051	29.999379	-0.788776	-5.080473	0.532453
0.580	-0.427405	6.371140	590.929907	2.863030	30.191921	-0.744152	-5.109222	0.484496
0.590	-0.520801	6.129590	591.351727	2.517145	30.336936	-0.691814	-5.130100	0.425660
0.600	-0.501593	5.791266	591.825435	2.106346	30.423642	-0.632854	-5.140645	0.355907
0.610	-0.368032	5.343923	592.403367	1.636601	30.443970	-0.570336	-5.139061	0.276265
0.620	-0.125165	4.791251	593.093494	1.120539	30.394253	-0.509051	-5.124698	0.188931
0.630	0.210397	4.157353	593.841485	0.577294	30.276467	-0.454801	-5.098409	0.097213
0.640	0.606465	3.488475	594.524372	0.031275	30.098416	-0.413459	-5.062604	0.005261
0.650	1.016428	2.850048	594.965036	-0.490373	29.872767	-0.390048	-5.020928	-0.082420
0.660	1.387769	2.317568	594.969716	-0.961410	29.615363	-0.387958	-4.977625	-0.161590
0.670	1.675671	1.962010	594.378544	-1.360528	29.343406	-0.408351	-4.936821	-0.228899
0.680	1.855503	1.833396	593.110488	-1.674730	29.073965	-0.449856	-4.901948	-0.282364
0.690	1.927864	1.947984	591.186017	-1.901097	28.822877	-0.508713	-4.875433	-0.321573
0.700	1.913811	2.283711	588.722375	-2.046371	28.603863	-0.579415	-4.858634	-0.347595
0.710	1.843310	2.785411	585.909327	-2.124482	28.427696	-0.655676	-4.851893	-0.362596
0.720	1.743348	3.377719	582.979104	-2.152811	28.301458	-0.731442	-4.854626	-0.369278
0.730	1.631353	3.981288	580.180549	-2.148469	28.228262	-0.801659	-4.865427	-0.370310
0.740	1.515521	4.527680	577.758499	-2.125678	28.207794	-0.862661	-4.882281	-0.367918
0.750	1.399215	4.969572	575.932841	-2.094739	28.237754	-0.912229	-4.902960	-0.363712
0.760	1.284567	5.284797	574.872528	-2.062288	28.315840	-0.949451	-4.925586	-0.358738
0.770	1.171714	5.474715	574.667194	-2.032241	28.441629	-0.974612	-4.949235	-0.353638
0.780	1.053724	5.558575	575.306605	-2.007039	28.617565	-0.989180	-4.974315	-0.348864
0.790	0.911070	5.565800	576.679901	-1.989065	28.848316	-0.995803	-5.002483	-0.344917
0.800	0.711177	5.527901	578.600307	-1.982059	29.138249	-0.998061	-5.035989	-0.342561
0.810	0.416574	5.471676	580.849714	-1.992122	29.487651	-0.999784	-5.076640	-0.342967
0.820	0.000304	5.415021	583.227774	-2.027687	29.889227	-1.004066	-5.124795	-0.347666
