Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	-1.887822	-2.047015	650.280020	2.692126	16.260336	-1.271024	-2.500513	0.413995
0.020	-1.895729	-1.963356	649.810299	2.713467	16.237481	-1.277638	-2.498803	0.417578
0.030	-1.898581	-1.892037	649.399544	2.736084	16.216685	-1.282113	-2.497181	0.421325
0.040	-1.892012	-1.842676	649.090686	2.761775	16.199087	-1.282708	-2.495659	0.425484
0.050	-1.872978	-1.819765	648.900543	2.792477	16.184542	-1.278548	-2.494148	0.430340
0.060	-1.840542	-1.821917	648.818856	2.829348	16.171497	-1.269727	-2.492452	0.436077
0.070	-1.796212	-1.842752	648.815869	2.872101	16.157409	-1.257153	-2.490292	0.442668
0.080	-1.743567	-1.873112	648.855139	2.919292	16.139546	-1.242207	-2.487388	0.449914
0.090	-1.687557	-1.903728	648.906377	2.969292	16.115810	-1.226365	-2.483534	0.457584
0.100	-1.634096	-1.927371	648.952958	3.021006	16.085260	-1.210921	-2.478648	0.465520
0.110	-1.589926	-1.939857	648.991637	3.073690	16.048255	-1.196896	-2.472798	0.473610
0.120	-1.562020	-1.939884	649.026529	3.126159	16.006309	-1.185121	-2.466203	0.481669
0.130	-1.555894	-1.928155	649.062176	3.176332	15.961674	-1.176392	-2.459190	0.489372
0.140	-1.573315	-1.906416	649.099449	3.221709	15.916611	-1.171573	-2.452107	0.496335
0.150	-1.610772	-1.876778	649.134944	3.260484	15.872426	-1.171519	-2.445166	0.502281
0.160	-1.659777	-1.841386	649.162142	3.292472	15.828604	-1.176784	-2.438313	0.507188
0.170	-1.708836	-1.802422	649.172677	3.319192	15.782430	-1.187248	-2.431160	0.511296
0.180	-1.746040	-1.762306	649.157843	3.343073	15.729368	-1.201901	-2.423042	0.514986
0.190	-1.761305	-1.723856	649.111331	3.366236	15.664183	-1.218985	-2.413174	0.518591
0.200	-1.747976	-1.690292	649.032714	3.389555	15.582474	-1.236464	-2.400876	0.522247
0.210	-1.704000	-1.665221	648.929124	3.412400	15.482173	-1.252592	-2.385803	0.525851
0.220	-1.632751	-1.652653	648.813238	3.433050	15.364518	-1.266298	-2.368096	0.529128
0.230	-1.543044	-1.656694	648.699103	3.449425	15.234181	-1.277238	-2.348420	0.531745
0.240	-1.447691	-1.680452	648.599596	3.459811	15.098508	-1.285581	-2.327863	0.533428
0.250	-1.360579	-1.724329	648.527444	3.463447	14.966090	-1.291722	-2.307703	0.534048
0.260	-1.293004	-1.784637	648.497407	3.460864	14.845060	-1.296074	-2.289147	0.533674
0.270	-1.250461	-1.853599	648.525215	3.453913	14.741512	-1.298984	-2.273082	0.532580
0.280	-1.231052	-1.920999	648.621663	3.445440	14.658334	-1.300744	-2.259920	0.531194
0.290	-1.226267	-1.976710	648.784861	3.438778	14.594616	-1.301645	-2.249531	0.530034
0.300	-1.224003	-2.012938	648.995493	3.437163	14.545855	-1.302039	-2.241288	0.529613
0.310	-1.212679	-2.025416	649.218291	3.443078	14.505125	-1.302346	-2.234245	0.530342
0.320	-1.184814	-2.013562	649.410013	3.457562	14.465093	-1.303032	-2.227421	0.532416
0.330	-1.138939	-1.980101	649.531685	3.479768	14.420189	-1.304586	-2.220090	0.535735
0.340	-1.079504	-1.930566	649.561090	3.507208	14.368021	-1.307441	-2.211958	0.539935
0.350	-1.015050	-1.872747	649.500708	3.536809	14.309381	-1.311807	-2.203136	0.544543
0.360	-0.955084	-1.815954	649.377586	3.566351	14.246920	-1.317442	-2.193935	0.549195
0.370	-0.906418	-1.769857	649.234904	3.595480	14.183267	-1.323530	-2.184613	0.553803
0.380	-0.870283	-1.742779	649.118350	3.625703	14.119634	-1.328823	-2.175202	0.558558
0.390	-0.841811	-1.739541	649.061788	3.659304	14.055509	-1.332070	-2.165512	0.563784
0.400	-0.812660	-1.759366	649.076387	3.697763	13.989273	-1.332554	-2.155258	0.569696
0.410	-0.775612	-1.794725	649.146674	3.740523	13.919001	-1.330434	-2.144200	0.576221
0.420	-0.728363	-1.832042	649.235756	3.784762	13.842962	-1.326682	-2.132193	0.582956
0.430	-0.674088	-1.854547	649.299113	3.826311	13.759783	-1.322621	-2.119175	0.589299
0.440	-0.618564	-1.846723	649.301936	3.861278	13.668574	-1.319353	-2.105118	0.594681
0.450	-0.566050	-1.799125	649.231757	3.887615	13.569119	-1.317407	-2.090027	0.598802
0.460	-0.516805	-1.712117	649.099691	3.905881	13.462049	-1.316737	-2.073957	0.601738
0.470	-0.467740	-1.597268	648.930010	3.918870	13.348916	-1.316899	-2.057066	0.603897
0.480	-0.415594	-1.475601	648.745088	3.930388	13.232207	-1.317191	-2.039662	0.605845
0.490	-0.360485	-1.372602	648.555826	3.943936	13.115296	-1.316725	-2.022231	0.608110
0.500	-0.307386	-1.310939	648.364042	3.961982	13.002194	-1.314560	-2.005385	0.611074
0.510	-0.264317	-1.303087	648.174712	3.985994	12.896971	-1.309984	-1.989737	0.614957
0.520	-0.238240	-1.346734	648.007954	4.016791	12.802890	-1.302841	-1.975730	0.619867
0.530	-0.231124	-1.425030	647.899873	4.054626	12.721627	-1.293732	-1.963518	0.625811
0.540	-0.238343	-1.511780	647.889142	4.098731	12.652980	-1.283956	-1.952954	0.632629
0.550	-0.250041	-1.579702	647.996601	4.146584	12.595209	-1.275209	-1.943715	0.639908
0.560	-0.254707	-1.608809	648.210183	4.193589	12.545693	-1.269123	-1.935436	0.646949
0.570	-0.243469	-1.592161	648.484399	4.233738	12.501436	-1.266766	-1.927793	0.652867
