Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	5.530679	-0.769934	466.928575	2.640021	5.307970	-0.872386	-1.136784	0.565402
0.020	5.438185	-0.826775	467.119761	2.610514	5.355994	-0.869340	-1.146600	0.558853
0.030	5.356089	-0.878235	467.235544	2.584933	5.404400	-0.865831	-1.156676	0.553240
0.040	5.291648	-0.919829	467.219542	2.565937	5.453300	-0.861835	-1.167182	0.549193
0.050	5.248023	-0.949183	467.045069	2.554450	5.502374	-0.857673	-1.178125	0.546939
0.060	5.223662	-0.966557	466.719523	2.549612	5.550971	-0.853671	-1.189359	0.546283
0.070	5.212967	-0.975214	466.279611	2.549197	5.598540	-0.849845	-1.200683	0.546710
0.080	5.208306	-0.981343	465.779348	2.550335	5.645157	-0.845892	-1.211981	0.547541
0.090	5.202742	-0.992869	465.275042	2.550236	5.691907	-0.841456	-1.223342	0.548114
0.100	5.192278	-1.016905	464.811854	2.546732	5.740951	-0.836395	-1.235113	0.547906
0.110	5.176283	-1.056762	464.414972	2.538451	5.795327	-0.830814	-1.247877	0.546591
0.120	5.155488	-1.110090	464.086892	2.524647	5.858678	-0.824842	-1.262410	0.544003
0.130	5.128345	-1.169438	463.811595	2.504809	5.935011	-0.818395	-1.279617	0.540049
0.140	5.087896	-1.225292	463.565569	2.478333	6.028394	-0.811116	-1.300440	0.534624
0.150	5.021538	-1.270143	463.333251	2.444526	6.142444	-0.802583	-1.325708	0.527596
0.160	4.914796	-1.301506	463.121666	2.402985	6.279513	-0.792681	-1.355910	0.518867
0.170	4.758148	-1.322597	462.968017	2.354149	6.439717	-0.781937	-1.390964	0.508491
0.180	4.554082	-1.340895	462.935862	2.299727	6.620080	-0.771607	-1.430021	0.496770
0.190	4.320888	-1.365672	463.099500	2.242748	6.814200	-0.763419	-1.471433	0.484291
0.200	4.090377	-1.405406	463.520556	2.187148	7.012792	-0.759004	-1.512941	0.471856
0.210	3.898994	-1.465516	464.224133	2.136908	7.205223	-0.759276	-1.552100	0.460318
0.220	3.775167	-1.546671	465.183137	2.094976	7.381696	-0.764026	-1.586837	0.450355
0.230	3.728436	-1.643904	466.317216	2.062360	7.535343	-0.771954	-1.615926	0.442265
0.240	3.745887	-1.746905	467.507294	2.037743	7.663480	-0.781156	-1.639221	0.435874
0.250	3.798011	-1.841856	468.620229	2.017843	7.767532	-0.789887	-1.657532	0.430592
0.260	3.851140	-1.914723	469.534594	1.998432	7.851651	-0.797294	-1.672220	0.425620
0.270	3.880261	-1.955129	470.160034	1.975647	7.920606	-0.803793	-1.684662	0.420207
0.280	3.876325	-1.959587	470.447045	1.947113	7.977920	-0.810850	-1.695817	0.413886
0.290	3.845722	-1.933032	470.387819	1.912477	8.025068	-0.820229	-1.706054	0.406574
0.300	3.803771	-1.887880	470.010432	1.873297	8.061973	-0.833072	-1.715275	0.398565
0.310	3.766444	-1.840552	469.368834	1.832416	8.088377	-0.849281	-1.723246	0.390400
0.320	3.744100	-1.806490	468.530872	1.793064	8.105332	-0.867485	-1.729946	0.382699
0.330	3.738913	-1.795683	467.567027	1.757932	8.115999	-0.885511	-1.735794	0.375974
0.340	3.745653	-1.810604	466.543377	1.728426	8.125307	-0.901106	-1.741597	0.370475
0.350	3.754594	-1.847185	465.521449	1.704341	8.138558	-0.912604	-1.748267	0.366114
0.360	3.755355	-1.898040	464.563752	1.684105	8.159679	-0.919308	-1.756417	0.362513
0.370	3.740684	-1.956302	463.739255	1.665577	8.189941	-0.921526	-1.766066	0.359162
0.380	3.709310	-2.018427	463.121898	1.647129	8.227729	-0.920361	-1.776580	0.355658
0.390	3.666917	-2.084725	462.779261	1.628627	8.269385	-0.917440	-1.786896	0.351923
0.400	3.624524	-2.157201	462.755498	1.611956	8.310713	-0.914658	-1.795919	0.348339
0.410	3.594473	-2.235613	463.057229	1.600898	8.348400	-0.913892	-1.802887	0.345723
0.420	3.585507	-2.313867	463.649617	1.600373	8.380752	-0.916577	-1.807562	0.345169
0.430	3.599166	-2.379140	464.463981	1.615219	8.407550	-0.923256	-1.810162	0.347760
0.440	3.629133	-2.414824	465.412837	1.648864	8.429309	-0.933299	-1.811147	0.354280
0.450	3.663756	-2.406249	466.405962	1.702385	8.446483	-0.944987	-1.810972	0.365001
0.460	3.690487	-2.346539	467.362147	1.774322	8.458969	-0.955937	-1.809939	0.379646
0.470	3.700200	-2.239827	468.214579	1.861344	8.466001	-0.963719	-1.808146	0.397541
0.480	3.689691	-2.100392	468.911260	1.959454	8.466273	-0.966474	-1.805517	0.417873
0.490	3.661916	-1.948231	469.413676	2.065212	8.458084	-0.963373	-1.801840	0.439956
0.500	3.624706	-1.803057	469.696446	2.176367	8.439394	-0.954819	-1.796776	0.463356
0.510	3.588873	-1.679159	469.748609	2.291670	8.407902	-0.942375	-1.789873	0.487850
0.520	3.566104	-1.582805	469.575081	2.410149	8.361370	-0.928460	-1.780625	0.513262
0.530	3.566659	-1.512487	469.196058	2.530534	8.298296	-0.915876	-1.768620	0.539334
0.540	3.597157	-1.461123	468.643057	2.651294	8.218720	-0.907233	-1.753727	0.565738
0.550	3.659130	-1.418884	467.952468	2.771122	8.124821	-0.904340	-1.736249	0.592180
0.560	3.749015	-1.375890	467.159638	2.889257	8.021035	-0.907687	-1.716980	0.618473
0.570	3.859581	-1.324542	466.296686	3.005180	7.913653	-0.916199	-1.697128	0.644478
