Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	2.530831	0.487021	572.385179	17.849799	17.674928	0.422575	-3.087943	3.118494
0.020	2.630923	0.475993	573.779665	17.638954	17.688645	0.429079	-3.082829	3.074169
0.030	2.722269	0.434529	574.943348	17.411371	17.698808	0.433357	-3.078357	3.028363
0.040	2.792533	0.340392	575.667976	17.153517	17.702686	0.433273	-3.075156	2.979759
0.050	2.824968	0.185476	575.795229	16.856086	17.699360	0.426992	-3.073898	2.927445
0.060	2.801355	-0.025049	575.245848	16.513637	17.690445	0.413585	-3.075284	2.870710
0.070	2.707812	-0.278661	574.041968	16.123027	17.680155	0.393746	-3.079941	2.808684
0.080	2.541044	-0.563358	572.311654	15.682206	17.674383	0.370174	-3.088245	2.740151
0.090	2.312242	-0.873458	570.271507	15.190833	17.678900	0.347192	-3.100085	2.663790
0.100	2.046544	-1.210133	568.192055	14.652932	17.697282	0.329467	-3.114666	2.578870
0.110	1.777701	-1.576035	566.355126	14.080178	17.729404	0.320248	-3.130439	2.486104
0.120	1.540019	-1.966623	565.011797	13.493446	17.771091	0.319917	-3.145260	2.388171
0.130	1.360994	-2.363218	564.346718	12.920700	17.814999	0.325584	-3.156747	2.289497
0.140	1.257155	-2.732694	564.452685	12.391082	17.852306	0.332039	-3.162764	2.195238
0.150	1.233244	-3.035574	565.318917	11.927351	17.874627	0.333667	-3.161866	2.109845
0.160	1.282996	-3.239519	566.835877	11.540107	17.875675	0.326548	-3.153589	2.035882
0.170	1.389952	-3.331832	568.816639	11.226400	17.852294	0.309855	-3.138497	1.973641
0.180	1.528444	-3.324718	571.029499	10.972885	17.804637	0.286083	-3.117989	1.921597
0.190	1.666218	-3.250806	573.232859	10.761381	17.735403	0.260150	-3.093926	1.877314
0.200	1.769935	-3.151584	575.205052	10.574008	17.648268	0.237822	-3.068170	1.838302
0.210	1.813123	-3.064696	576.766787	10.396168	17.545964	0.224032	-3.042124	1.802491
0.220	1.784290	-3.015656	577.797033	10.217404	17.428752	0.221588	-3.016414	1.768338
0.230	1.691987	-3.016151	578.242518	10.031309	17.294008	0.230640	-2.990788	1.734793
0.240	1.564341	-3.067240	578.119287	9.835456	17.137114	0.249036	-2.964287	1.701285
0.250	1.442603	-3.163918	577.504738	9.631373	16.953181	0.273419	-2.935592	1.667757
0.260	1.370616	-3.298422	576.520597	9.423923	16.738797	0.300555	-2.903417	1.634620
0.270	1.383717	-3.461674	575.309937	9.219727	16.493121	0.328353	-2.866824	1.602567
0.280	1.500714	-3.643548	574.012969	9.024932	16.218109	0.356158	-2.825391	1.572252
0.290	1.721068	-3.832781	572.746468	8.843151	15.918032	0.384264	-2.779246	1.543991
0.300	2.027280	-4.017114	571.590858	8.674330	15.598637	0.412947	-2.728986	1.517577
0.310	2.390892	-4.184158	570.587173	8.514723	15.266341	0.441551	-2.675549	1.492274
0.320	2.779819	-4.323318	569.743316	8.357678	14.927740	0.468113	-2.620082	1.466920
0.330	3.164911	-4.428663	569.046303	8.194774	14.589531	0.489768	-2.563857	1.440089
0.340	3.524236	-4.501893	568.475854	8.017006	14.258621	0.503748	-2.508219	1.410263
0.350	3.844664	-4.554054	568.015235	7.815811	13.941977	0.508528	-2.454508	1.375986
0.360	4.121332	-4.604719	567.656996	7.583857	13.645993	0.504576	-2.403915	1.335993
0.370	4.355814	-4.678269	567.403122	7.315793	13.375566	0.494396	-2.357330	1.289347
0.380	4.553459	-4.797932	567.260691	7.009228	13.133346	0.481872	-2.315222	1.235627
0.390	4.719925	-4.978934	567.235184	6.665919	12.919563	0.471226	-2.277638	1.175160
0.400	4.857341	-5.222651	567.324127	6.292529	12.732473	0.465975	-2.244303	1.109159
0.410	4.961387	-5.514080	567.513640	5.900181	12.569205	0.468242	-2.214785	1.039654
0.420	5.020958	-5.824743	567.779547	5.502547	12.426609	0.478583	-2.188633	0.969134
0.430	5.021121	-6.121367	568.093031	5.113081	12.301827	0.496318	-2.165460	0.900043
0.440	4.948423	-6.377820	568.428703	4.742550	12.192541	0.520157	-2.144955	0.834326
0.450	4.796583	-6.585435	568.771663	4.397859	12.097007	0.548803	-2.126865	0.773220
0.460	4.570573	-6.756829	569.120739	4.082399	12.013965	0.581236	-2.110970	0.717317
0.470	4.287771	-6.920903	569.487275	3.797416	11.942338	0.616576	-2.097033	0.666813
0.480	3.975788	-7.110549	569.890788	3.543465	11.880665	0.653645	-2.084727	0.621780
0.490	3.667551	-7.347855	570.353069	3.321265	11.826408	0.690529	-2.073524	0.582317
0.500	3.394851	-7.632810	570.891461	3.131801	11.775520	0.724404	-2.062655	0.548581
0.510	3.181874	-7.940268	571.511573	2.975996	11.722590	0.751772	-2.051155	0.520724
0.520	3.040223	-8.226538	572.200315	2.854333	11.661573	0.769018	-2.038023	0.498835
0.530	2.966847	-8.442882	572.921391	2.766565	11.586809	0.773107	-2.022408	0.482887
0.540	2.945944	-8.550492	573.615964	2.711404	11.493984	0.762276	-2.003777	0.472686
0.550	2.954614	-8.531562	574.209899	2.686024	11.380749	0.736619	-1.981984	0.467777
0.560	2.970485	-8.393561	574.626485	2.685465	11.246805	0.698471	-1.957237	0.467341
0.570	2.978554	-8.166579	574.801734	2.702420	11.093372	0.652360	-1.929947	0.470148
0.580	2.975013	-7.895439	574.698804	2.727891	10.922224	0.604349	-1.900513	0.474665
0.590	2.967176	-7.629045	574.318223	2.752893	10.734713	0.560814	-1.869123	0.479332
0.600	2.970171	-7.409735	573.700559	2.770741	10.531201	0.526997	-1.835662	0.482959
0.610	3.002052	-7.265114	572.919131	2.779028	10.311162	0.505790	-1.799759	0.485065
0.620	3.079073	-7.204140	572.063384	2.780362	10.073931	0.497160	-1.760982	0.486023
0.630	3.212089	-7.218121	571.217926	2.781406	9.819842	0.498439	-1.719106	0.486926
0.640	3.404104	-7.285928	570.444822	2.790548	9.551321	0.505347	-1.674364	0.489188
0.650	3.648704	-7.381309	569.775149	2.815222	9.273422	0.513349	-1.627558	0.494093
0.660	3.929547	-7.479562	569.211116	2.860029	8.993510	0.518805	-1.579995	0.502455
0.670	4.221613	-7.561683	568.735676	2.926280	8.720114	0.519584	-1.533245	0.514524
0.680	4.494905	-7.615910	568.324832	3.012819	8.461456	0.515109	-1.488842	0.530123
0.690	4.720410	-7.637802	567.958581	3.117573	8.224242	0.505991	-1.448036	0.548909
