Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	2.856530	-2.333444	665.802058	1.274755	23.631580	-0.694160	-3.549340	0.191462
0.020	2.851180	-2.600537	664.504003	1.328689	23.687003	-0.680175	-3.564614	0.199952
0.030	2.814712	-2.838990	663.473144	1.378515	23.762429	-0.663347	-3.581521	0.207773
0.040	2.726368	-3.025861	662.928248	1.421150	23.872340	-0.641503	-3.601044	0.214375
0.050	2.580396	-3.145742	663.014125	1.455869	24.023905	-0.613827	-3.623438	0.219583
0.060	2.388042	-3.191144	663.780331	1.485083	24.216659	-0.581068	-3.648294	0.223731
0.070	2.173871	-3.160973	665.179672	1.514794	24.444223	-0.545407	-3.674830	0.227727
0.080	1.967116	-3.058435	667.087508	1.554325	24.697112	-0.510013	-3.702230	0.233002
0.090	1.791099	-2.889682	669.336814	1.614875	24.965390	-0.478341	-3.729870	0.241265
0.100	1.654915	-2.663792	671.759615	1.706919	25.240153	-0.453361	-3.757319	0.254097
0.110	1.550773	-2.393741	674.223581	1.837159	25.513287	-0.436992	-3.784099	0.272485
0.120	1.458350	-2.097298	676.653381	2.006180	25.775702	-0.429886	-3.809292	0.296486
0.130	1.354980	-1.796769	679.029901	2.207708	26.015085	-0.431519	-3.831213	0.325127
0.140	1.228123	-1.516996	681.366406	2.429752	26.214598	-0.440452	-3.847357	0.356600
0.150	1.085182	-1.281860	683.667913	2.657164	26.353627	-0.454653	-3.854741	0.388663
0.160	0.956280	-1.110143	685.887340	2.874810	26.410713	-0.471891	-3.850590	0.419137
0.170	0.888398	-1.011808	687.896672	3.070516	26.367881	-0.490254	-3.833116	0.446363
0.180	0.932752	-0.985606	689.489079	3.237109	26.214969	-0.508670	-3.802086	0.469494
0.190	1.129553	-1.018717	690.416369	3.373233	25.952597	-0.527198	-3.758978	0.488579
0.200	1.494733	-1.088879	690.449978	3.482835	25.592909	-0.546787	-3.706700	0.504430
0.210	2.012314	-1.168936	689.443046	3.573474	25.158004	-0.568500	-3.649033	0.518313
0.220	2.634538	-1.233040	687.372503	3.653892	24.676691	-0.592575	-3.590003	0.531574
0.230	3.289788	-1.262876	684.351107	3.731670	24.180579	-0.617818	-3.533359	0.545286
0.240	3.896280	-1.251705	680.611879	3.811843	23.700380	-0.641647	-3.482217	0.560061
0.250	4.378257	-1.204528	676.474618	3.896902	23.262818	-0.660777	-3.438831	0.576060
0.260	4.681349	-1.134283	672.304817	3.987904	22.888131	-0.672273	-3.404428	0.593169
0.270	4.784298	-1.055976	668.471901	4.085898	22.588139	-0.674503	-3.379071	0.611230
0.280	4.704601	-0.981463	665.309780	4.192771	22.365137	-0.667640	-3.361613	0.630198
0.290	4.496078	-0.916939	663.080188	4.311062	22.212110	-0.653517	-3.349838	0.650157
0.300	4.237593	-0.863505	661.939780	4.442991	22.114768	-0.635003	-3.340903	0.671208
0.310	4.014659	-0.819592	661.915910	4.589337	22.055358	-0.615194	-3.332048	0.693341
0.320	3.898532	-0.783429	662.900112	4.748787	22.017354	-0.596743	-3.321368	0.716365
0.330	3.929088	-0.754306	664.666697	4.917899	21.989527	-0.581462	-3.308354	0.739905
0.340	4.106848	-0.732431	666.915505	5.091441	21.968030	-0.570210	-3.293975	0.763431
0.350	4.396296	-0.718105	669.328385	5.262817	21.955913	-0.562962	-3.280290	0.786283
0.360	4.738617	-0.711184	671.624620	5.424522	21.960434	-0.559019	-3.269748	0.807672
0.370	5.069207	-0.711403	673.602424	5.568814	21.989224	-0.557318	-3.264422	0.826721
0.380	5.334441	-0.719395	675.158943	5.688812	22.046579	-0.556744	-3.265391	0.842589
0.390	5.503205	-0.737510	676.287383	5.779998	22.131042	-0.556379	-3.272432	0.854666
