Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	14.255205	-0.441124	599.405278	-14.051614	-10.062094	0.796254	1.678680	-2.344259
0.020	14.407591	-0.459444	598.806874	-14.185280	-10.105372	0.805827	1.687584	-2.368924
0.030	14.519308	-0.481334	598.351342	-14.326428	-10.130904	0.815162	1.693136	-2.394317
0.040	14.560359	-0.512574	598.163269	-14.479632	-10.123250	0.824196	1.692389	-2.420682
0.050	14.515941	-0.560438	598.324637	-14.645481	-10.069873	0.832999	1.683012	-2.447748
0.060	14.386374	-0.631942	598.858282	-14.820505	-9.961900	0.841445	1.663482	-2.474793
0.070	14.182443	-0.730255	599.725869	-14.998662	-9.793961	0.848954	1.633073	-2.500920
0.080	13.919236	-0.850605	600.843397	-15.173885	-9.563548	0.854600	1.591687	-2.525431
0.090	13.611423	-0.978254	602.107097	-15.342700	-9.270326	0.857618	1.539647	-2.548168
0.100	13.271158	-1.090779	603.417335	-15.505805	-8.915543	0.858020	1.477509	-2.569665
0.110	12.907885	-1.165003	604.691823	-15.667901	-8.501397	0.856945	1.405906	-2.591056
0.120	12.528720	-1.186589	605.868842	-15.835802	-8.030380	0.856524	1.325432	-2.613734
0.130	12.138788	-1.158716	606.908599	-16.015545	-7.504942	0.859266	1.236585	-2.638873
0.140	11.741854	-1.105796	607.800169	-16.209464	-6.927990	0.867230	1.139847	-2.666907
0.150	11.341662	-1.069155	608.573417	-16.414235	-6.304315	0.881252	1.035917	-2.697166
0.160	10.943503	-1.094277	609.306754	-16.620747	-5.642438	0.900520	0.926042	-2.727813
0.170	10.554701	-1.213167	610.120061	-16.816107	-4.955777	0.922641	0.812263	-2.756196
0.180	10.182889	-1.428745	611.148595	-16.987198	-4.262153	0.944211	0.697400	-2.779553
0.190	9.832453	-1.708538	612.503094	-17.124606	-3.581310	0.961751	0.584701	-2.795840
0.200	9.501108	-1.991574	614.228396	-17.225477	-2.931165	0.972680	0.477211	-2.804409
0.210	9.179026	-2.206843	616.274856	-17.294178	-2.324129	0.975965	0.377125	-2.806244
0.220	8.851695	-2.296857	618.492882	-17.340393	-1.764789	0.972167	0.285337	-2.803653
0.230	8.505452	-2.237669	620.652701	-17.375301	-1.249516	0.962947	0.201323	-2.799521
0.240	8.132812	-2.047880	622.483352	-17.407343	-0.767747	0.950337	0.123336	-2.796435
0.250	7.734533	-1.783228	623.720732	-17.439204	-0.304360	0.936131	0.048797	-2.795996
0.260	7.317166	-1.518563	624.154891	-17.467082	0.157302	0.921510	-0.025202	-2.798517
0.270	6.887914	-1.323590	623.669425	-17.482437	0.632059	0.906889	-0.101345	-2.803158
0.280	6.450758	-1.240845	622.268053	-17.475623	1.129544	0.891979	-0.181520	-2.808375
0.290	6.007172	-1.273511	620.083943	-17.440212	1.651568	0.876077	-0.266346	-2.812557
0.300	5.561346	-1.387091	617.367722	-17.376410	2.191112	0.858509	-0.354912	-2.814597
0.310	5.126087	-1.523766	614.452696	-17.292172	2.733573	0.838971	-0.444879	-2.814240
0.320	4.724390	-1.623463	611.701310	-17.201455	3.260246	0.817593	-0.532980	-2.812068
0.330	4.383979	-1.643373	609.443262	-17.120381	3.753172	0.794783	-0.615836	-2.809184
0.340	4.126447	-1.569145	607.919690	-17.062978	4.199844	0.771054	-0.690855	-2.806782
0.350	3.956265	-1.415246	607.246625	-17.038241	4.596140	0.746988	-0.756882	-2.805819
0.360	3.855592	-1.216482	607.404815	-17.049431	4.946571	0.723297	-0.814378	-2.806930
0.370	3.787815	-1.015255	608.255167	-17.095296	5.262089	0.700876	-0.865112	-2.810547
0.380	3.708160	-0.849286	609.573469	-17.172046	5.556638	0.680758	-0.911562	-2.817059
0.390	3.576431	-0.743097	611.095909	-17.274813	5.843804	0.663953	-0.956283	-2.826858
0.400	3.367072	-0.704762	612.568010	-17.398029	6.134337	0.651164	-1.001413	-2.840179
0.410	3.074421	-0.727867	613.791876	-17.534983	6.434513	0.642438	-1.048322	-2.856829
0.420	2.713724	-0.797155	614.667020	-17.677415	6.744848	0.636897	-1.097317	-2.875934
0.430	2.319248	-0.895177	615.215799	-17.815870	7.058982	0.632718	-1.147399	-2.895873
0.440	1.939752	-1.006980	615.579991	-17.940943	7.363223	0.627494	-1.196144	-2.914478
0.450	1.630640	-1.121086	615.979106	-18.044850	7.637610	0.618871	-1.239914	-2.929458
0.460	1.442674	-1.227150	616.636259	-18.122541	7.859013	0.605239	-1.274497	-2.938935
0.470	1.409217	-1.312665	617.695221	-18.171983	8.005872	0.586244	-1.296088	-2.941901
0.480	1.536159	-1.361817	619.160244	-18.193829	8.063303	0.563042	-1.302297	-2.938468
0.490	1.799308	-1.358512	620.882600	-18.190923	8.026846	0.538189	-1.292812	-2.929849
0.500	2.151789	-1.293069	622.598251	-18.167918	7.903383	0.515129	-1.269419	-2.918081
0.510	2.539506	-1.169332	624.000063	-18.130933	7.708824	0.497333	-1.235388	-2.905598
0.520	2.918420	-1.007969	624.816174	-18.087098	7.463510	0.487443	-1.194513	-2.894787
0.530	3.266148	-0.843154	624.868072	-18.043889	7.187332	0.486752	-1.150216	-2.887632
0.540	3.583275	-0.713130	624.094238	-18.008294	6.896476	0.495206	-1.105038	-2.885509
0.550	3.884915	-0.648492	622.540574	-17.985833	6.602651	0.511726	-1.060598	-2.889102
0.560	4.187419	-0.663247	620.330734	-17.979480	6.314205	0.534528	-1.017877	-2.898370
0.570	4.496521	-0.752137	617.634088	-17.988752	6.037722	0.561227	-0.977556	-2.912526
0.580	4.801825	-0.894417	614.644849	-18.009526	5.778734	0.588788	-0.940174	-2.930070
0.590	5.079522	-1.061668	611.575628	-18.035042	5.540976	0.613623	-0.906016	-2.948947
0.600	5.302080	-1.226385	608.658304	-18.057921	5.324575	0.632081	-0.874805	-2.966840
0.610	5.450978	-1.368503	606.140061	-18.072357	5.124236	0.641319	-0.845388	-2.981548
0.620	5.527316	-1.478093	604.265402	-18.075629	4.928581	0.640176	-0.815632	-2.991339
0.630	5.555942	-1.553839	603.243597	-18.068488	4.721372	0.629600	-0.782664	-2.995222
0.640	5.581426	-1.598568	603.209580	-18.054548	4.484580	0.612417	-0.743453	-2.993080
0.650	5.657254	-1.614275	604.189499	-18.039032	4.202623	0.592573	-0.695580	-2.985658
0.660	5.831662	-1.599212	606.080311	-18.027325	3.866623	0.574219	-0.637972	-2.974412
0.670	6.134103	-1.548304	608.649313	-18.023765	3.477499	0.560965	-0.571347	-2.961273
0.680	6.566154	-1.456296	611.556043	-18.031002	3.047035	0.555437	-0.498243	-2.948381
0.690	7.099625	-1.321900	614.394830	-18.049969	2.596610	0.559114	-0.422629	-2.937845
0.700	7.682506	-1.151224	616.751342	-18.080172	2.154031	0.572330	-0.349254	-2.931517
0.710	8.250392	-0.959513	618.262523	-18.119922	1.749342	0.594402	-0.282945	-2.930781
0.720	8.739236	-0.770725	618.667846	-18.166381	1.410703	0.623836	-0.228023	-2.936371
0.730	9.095722	-0.614802	617.842422	-18.215618	1.161164	0.658571	-0.187939	-2.948263
0.740	9.283817	-0.522860	615.809118	-18.263001	1.016629	0.696196	-0.165088	-2.965692
0.750	9.288145	-0.521071	612.733959	-18.304133	0.984689	0.734092	-0.160704	-2.987289
0.760	9.115351	-0.624460	608.910960	-18.336307	1.063837	0.769544	-0.174711	-3.011328
0.770	8.793699	-0.832059	604.737843	-18.360044	1.243060	0.799909	-0.205554	-3.036034
0.780	8.369735	-1.124755	600.678719	-18.380083	1.502608	0.822904	-0.250152	-3.059886
0.790	7.900402	-1.466944	597.210646	-18.405258	1.816711	0.837008	-0.304199	-3.081870
0.800	7.440649	-1.812512	594.759003	-18.447170	2.158104	0.841844	-0.362853	-3.101621
