Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	1.174236	-4.684948	681.772403	-11.126719	-7.113793	-0.349403	1.043426	-1.632028
0.020	0.408594	-4.201352	686.703159	-10.634835	-6.726226	-0.365999	0.979495	-1.548680
0.030	-0.363853	-3.703986	691.586394	-10.136489	-6.355395	-0.383526	0.918959	-1.465687
0.040	-1.125786	-3.190037	696.363135	-9.630438	-6.019241	-0.401761	0.864383	-1.382962
0.050	-1.819844	-2.673935	700.949126	-9.123082	-5.738657	-0.418936	0.818698	-1.301533
0.060	-2.352853	-2.187618	705.240440	-8.629196	-5.536410	-0.432181	0.785039	-1.223582
0.070	-2.618358	-1.774682	709.124668	-8.169703	-5.433835	-0.438713	0.766274	-1.152083
0.080	-2.529477	-1.480345	712.491999	-7.766950	-5.446213	-0.437245	0.764389	-1.090110
0.090	-2.050115	-1.339982	715.240459	-7.438791	-5.578251	-0.428877	0.779913	-1.040041
0.100	-1.213192	-1.369085	717.271318	-7.193257	-5.820998	-0.416938	0.811548	-1.002864
0.110	-0.119458	-1.557046	718.475928	-7.025509	-6.150932	-0.405811	0.856108	-0.977835
0.120	1.081806	-1.866379	718.723198	-6.918317	-6.531395	-0.399311	0.908750	-0.962584
0.130	2.222639	-2.238206	717.862503	-6.846323	-6.916326	-0.399398	0.963461	-0.953710
0.140	3.147741	-2.603801	715.754158	-6.783041	-7.256265	-0.405719	1.013793	-0.947677
0.150	3.740989	-2.900128	712.327580	-6.708155	-7.506347	-0.416008	1.053777	-0.941723
0.160	3.944453	-3.085067	707.650438	-6.612302	-7.635161	-0.427076	1.078945	-0.934402
0.170	3.768326	-3.146743	701.979748	-6.497438	-7.632191	-0.436001	1.087238	-0.925588
0.180	3.288942	-3.102850	695.766627	-6.372859	-7.510989	-0.441036	1.079527	-0.915948
0.190	2.631649	-2.989743	689.602454	-6.248911	-7.306130	-0.441791	1.059470	-0.906161
0.200	1.939078	-2.845496	684.118064	-6.131272	-7.064243	-0.438570	1.032606	-0.896230
0.210	1.332707	-2.693728	679.866944	-6.017950	-6.832017	-0.431262	1.004905	-0.885166
0.220	0.881601	-2.534728	677.229063	-5.899580	-6.645441	-0.418538	0.981269	-0.871135
0.230	0.591132	-2.347612	676.362649	-5.762287	-6.523930	-0.397953	0.964561	-0.851952
0.240	0.415912	-2.102870	677.212351	-5.591832	-6.470726	-0.367040	0.955494	-0.825713
0.250	0.290181	-1.780279	679.562123	-5.377753	-6.478443	-0.324952	0.953326	-0.791356
0.260	0.162147	-1.384309	683.107752	-5.116507	-6.536956	-0.273882	0.956944	-0.749004
0.270	0.018822	-0.949404	687.521488	-4.812987	-6.640399	-0.219486	0.965846	-0.700049
0.280	-0.106988	-0.531624	692.489570	-4.480072	-6.790803	-0.169925	0.980636	-0.646952
0.290	-0.148615	-0.189313	697.718931	-4.136264	-6.997374	-0.133682	1.002893	-0.592827
0.300	-0.030508	0.039167	702.925209	-3.801902	-7.272149	-0.116951	1.034555	-0.540869
0.310	0.303942	0.150921	707.822125	-3.495000	-7.624078	-0.121640	1.077118	-0.493768
0.320	0.871949	0.180366	712.127016	-3.227960	-8.053970	-0.144771	1.130974	-0.453284
0.330	1.644386	0.186549	715.582440	-3.005970	-8.552050	-0.179402	1.195117	-0.420073
0.340	2.552819	0.231182	717.980620	-2.827141	-9.098688	-0.216627	1.267261	-0.393763
0.350	3.506435	0.356232	719.176790	-2.683960	-9.667696	-0.247981	1.344273	-0.373199
0.360	4.412588	0.569578	719.089351	-2.565641	-10.230964	-0.267572	1.422767	-0.356790
0.370	5.194779	0.843547	717.697521	-2.461095	-10.763201	-0.273317	1.499685	-0.342915
0.380	5.804079	1.125587	715.048591	-2.362077	-11.245861	-0.266870	1.572741	-0.330338
0.390	6.223196	1.355821	711.275393	-2.265665	-11.669602	-0.252307	1.640659	-0.318536
0.400	6.464878	1.484829	706.611040	-2.175045	-12.034792	-0.234219	1.703171	-0.307814
0.410	6.566471	1.486805	701.384210	-2.098068	-12.349821	-0.216143	1.760778	-0.299132
0.420	6.581004	1.365780	695.986875	-2.043932	-12.627533	-0.200023	1.814335	-0.293674
0.430	6.564382	1.154373	690.820402	-2.019248	-12.880673	-0.186709	1.864547	-0.292297
0.440	6.559784	0.905584	686.236473	-2.025117	-13.117627	-0.176861	1.911532	-0.295105
0.450	6.583267	0.679300	682.491870	-2.056634	-13.339754	-0.171521	1.954566	-0.301342
0.460	6.616409	0.526459	679.731699	-2.105273	-13.541364	-0.171961	1.992163	-0.309721
0.470	6.610750	0.474773	678.006177	-2.163397	-13.712770	-0.178947	2.022514	-0.319082
0.480	6.505074	0.520173	677.313179	-2.228923	-13.845853	-0.191837	2.044232	-0.329083
0.490	6.251694	0.627147	677.645993	-2.307795	-13.940303	-0.207978	2.057166	-0.340561
0.500	5.843351	0.738855	679.020292	-2.412839	-14.007825	-0.222753	2.062946	-0.355341
