Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	3.755235	-1.944581	676.056174	-5.726008	8.300972	-0.361822	-1.227852	-0.846972
0.020	3.835904	-2.098702	675.845336	-5.671465	8.137186	-0.352314	-1.204001	-0.839166
0.030	3.936333	-2.236985	675.676659	-5.606360	7.967488	-0.339916	-1.179186	-0.829740
0.040	4.073830	-2.346808	675.579394	-5.523778	7.787721	-0.322752	-1.152747	-0.817636
0.050	4.259804	-2.422664	675.563184	-5.422672	7.596536	-0.300284	-1.124474	-0.802689
0.060	4.497146	-2.467993	675.617811	-5.307578	7.395512	-0.273221	-1.094630	-0.785589
0.070	4.779324	-2.494333	675.719181	-5.186308	7.188450	-0.242998	-1.063822	-0.767524
0.080	5.091792	-2.517610	675.837590	-5.066937	6.980204	-0.211153	-1.032823	-0.749727
0.090	5.415080	-2.552901	675.944558	-4.955431	6.775486	-0.178865	-1.002373	-0.733112
0.100	5.728402	-2.609923	676.017353	-4.854674	6.577992	-0.146832	-0.973051	-0.718129
0.110	6.012929	-2.690983	676.042825	-4.764814	6.390002	-0.115475	-0.945207	-0.704810
0.120	6.254484	-2.791433	676.021586	-4.684355	6.212366	-0.085345	-0.918960	-0.692930
0.130	6.445562	-2.901337	675.970939	-4.611302	6.044699	-0.057508	-0.894225	-0.682175
0.140	6.586380	-3.007133	675.923522	-4.543824	5.885660	-0.033680	-0.870758	-0.672239
0.150	6.684651	-3.093252	675.919929	-4.480218	5.733282	-0.016000	-0.848219	-0.662833
0.160	6.753892	-3.144317	675.996646	-4.418378	5.585304	-0.006475	-0.826233	-0.653609
0.170	6.810393	-3.148214	676.173286	-4.355140	5.439378	-0.006298	-0.804435	-0.644086
0.180	6.869402	-3.099198	676.444290	-4.285854	5.293084	-0.015303	-0.782486	-0.633586
0.190	6.941650	-2.999578	676.778975	-4.204415	5.143874	-0.031746	-0.760052	-0.621239
0.200	7.031611	-2.858824	677.130358	-4.103932	4.989105	-0.052504	-0.736801	-0.606077
0.210	7.138400	-2.690262	677.449315	-3.978056	4.826304	-0.073736	-0.712423	-0.587211
0.220	7.258865	-2.506828	677.698294	-3.822684	4.653628	-0.091824	-0.686681	-0.564069
0.230	7.391150	-2.317790	677.858732	-3.637418	4.470356	-0.104285	-0.659482	-0.536604
0.240	7.536838	-2.127796	677.928838	-3.426107	4.277294	-0.110244	-0.630936	-0.505379
0.250	7.700701	-1.938331	677.913303	-3.196123	4.077002	-0.110309	-0.601405	-0.471465
0.260	7.888373	-1.750449	677.811395	-2.956591	3.873788	-0.106029	-0.571514	-0.436197
0.270	8.103130	-1.567004	677.611394	-2.716306	3.673382	-0.099294	-0.542108	-0.400865
0.280	8.343177	-1.392994	677.296095	-2.482185	3.482353	-0.091961	-0.514155	-0.366484
0.290	8.600412	-1.233885	676.857598	-2.258727	3.307539	-0.085685	-0.488661	-0.333708
0.300	8.860867	-1.093058	676.313502	-2.048350	3.155736	-0.081852	-0.466608	-0.302870
0.310	9.106277	-0.969974	675.714939	-1.852154	3.033621	-0.081498	-0.448950	-0.274103
0.320	9.316009	-0.860050	675.140765	-1.670771	2.947626	-0.085281	-0.436594	-0.247470
0.330	9.468995	-0.756062	674.678734	-1.505188	2.903485	-0.093559	-0.430351	-0.223097
0.340	9.545848	-0.650306	674.400398	-1.357357	2.905440	-0.106509	-0.430818	-0.201269
0.350	9.531567	-0.536927	674.339896	-1.230287	2.955367	-0.124166	-0.438261	-0.182443
0.360	9.418795	-0.414131	674.485735	-1.127404	3.052200	-0.146289	-0.452523	-0.167150
0.370	9.210728	-0.285610	674.788580	-1.051420	3.191931	-0.172087	-0.473027	-0.155815
0.380	8.922271	-0.160104	675.180167	-1.003261	3.368176	-0.199984	-0.498856	-0.148592
0.390	8.578465	-0.048600	675.593905	-0.981610	3.573017	-0.227671	-0.528870	-0.145296
0.400	8.210491	0.039718	675.978759	-0.983285	3.797680	-0.252567	-0.561805	-0.145461
0.410	7.850508	0.100360	676.302889	-1.004302	4.032858	-0.272493	-0.596310	-0.148499
0.420	7.526765	0.133250	676.548876	-1.041131	4.268841	-0.286171	-0.630973	-0.153888
0.430	7.259936	0.139231	676.705880	-1.091642	4.495913	-0.293360	-0.664382	-0.161317
0.440	7.061086	0.115607	676.764787	-1.155464	4.705374	-0.294643	-0.695275	-0.170733
0.450	6.931382	0.053832	676.719892	-1.233818	4.891138	-0.291134	-0.722771	-0.182323
0.460	6.863500	-0.058603	676.575830	-1.329105	5.051460	-0.284259	-0.746621	-0.196446
0.470	6.844197	-0.232517	676.354239	-1.444384	5.190036	-0.275690	-0.767355	-0.213554
0.480	6.857177	-0.470183	676.094521	-1.582847	5.315816	-0.267361	-0.786253	-0.234116
0.490	6.885340	-0.760661	675.847228	-1.747445	5.441347	-0.261377	-0.805115	-0.258556
0.500	6.912023	-1.080012	675.663280	-1.940849	5.580053	-0.259712	-0.825863	-0.287251
0.510	6.921505	-1.397437	675.584122	-2.165729	5.743245	-0.263686	-0.850115	-0.320571
0.520	6.899627	-1.685851	675.636331	-2.425056	5.937698	-0.273422	-0.878830	-0.358929
0.530	6.835280	-1.932776	675.830643	-2.721929	6.164445	-0.287482	-0.912129	-0.402753
0.540	6.722593	-2.146380	676.162411	-3.058519	6.419119	-0.302864	-0.949346	-0.452335
0.550	6.562630	-2.353235	676.610513	-3.434306	6.693788	-0.315420	-0.989312	-0.507575
0.560	6.363329	-2.588218	677.134930	-3.844589	6.979757	-0.320697	-1.030778	-0.567773
0.570	6.137420	-2.881118	677.677026	-4.280719	7.270400	-0.315039	-1.072841	-0.631675
0.580	5.899059	-3.246293	678.167197	-4.732714	7.563013	-0.296649	-1.115214	-0.697868
0.590	5.660301	-3.680142	678.540159	-5.193327	7.859013	-0.266282	-1.158224	-0.765368
0.600	5.428371	-4.166808	678.751458	-5.661256	8.162381	-0.227394	-1.202558	-0.834069
