Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	2.030212	1.116929	710.748754	-3.816510	10.654507	0.053837	-1.499054	-0.536970
0.020	2.018606	1.107872	711.321987	-3.772934	10.631148	0.051310	-1.494562	-0.530412
0.030	2.013869	1.085028	711.896086	-3.733285	10.607883	0.050730	-1.490089	-0.524414
0.040	2.017991	1.040794	712.462503	-3.700317	10.585146	0.053331	-1.485713	-0.519370
0.050	2.025564	0.976392	713.001797	-3.675115	10.563585	0.059059	-1.481565	-0.515443
0.060	2.026051	0.901212	713.488553	-3.657020	10.543707	0.066693	-1.477768	-0.512555
0.070	2.009111	0.828950	713.901038	-3.643953	10.525537	0.074430	-1.474369	-0.510428
0.080	1.970088	0.772493	714.229287	-3.632983	10.508560	0.080651	-1.471315	-0.508658
0.090	1.912839	0.739698	714.476566	-3.621014	10.492051	0.084563	-1.468495	-0.506807
0.100	1.848634	0.731494	714.654348	-3.605414	10.475641	0.086443	-1.465833	-0.504498
0.110	1.791754	0.742601	714.775281	-3.584453	10.459777	0.087405	-1.463366	-0.501480
0.120	1.753937	0.764139	714.848708	-3.557562	10.445763	0.088766	-1.461255	-0.497666
0.130	1.740151	0.786822	714.879921	-3.525393	10.435324	0.091306	-1.459731	-0.493145
0.140	1.747358	0.803387	714.871400	-3.489623	10.429956	0.094785	-1.458998	-0.488147
0.150	1.766366	0.809648	714.823927	-3.452428	10.430371	0.098016	-1.459153	-0.482976
0.160	1.785566	0.804501	714.736975	-3.415811	10.436210	0.099525	-1.460147	-0.477912
0.170	1.795007	0.789526	714.609256	-3.381166	10.445971	0.098451	-1.461774	-0.473149
0.180	1.789438	0.768362	714.440598	-3.349325	10.457141	0.095161	-1.463682	-0.468804
0.190	1.769441	0.745538	714.235383	-3.320907	10.466561	0.091224	-1.465422	-0.464960
0.200	1.740451	0.724676	714.006200	-3.296525	10.471074	0.088735	-1.466524	-0.461694
0.210	1.710210	0.706691	713.775698	-3.276534	10.468243	0.089381	-1.466601	-0.459042
0.220	1.685887	0.688957	713.575418	-3.260445	10.456808	0.093710	-1.465410	-0.456917
0.230	1.672203	0.665983	713.442030	-3.246396	10.436603	0.100918	-1.462852	-0.455033
0.240	1.671256	0.631360	713.412240	-3.231068	10.407920	0.109202	-1.458893	-0.452903
0.250	1.683854	0.580368	713.517215	-3.210273	10.370681	0.116424	-1.453459	-0.449922
0.260	1.711324	0.512599	713.776656	-3.180106	10.323843	0.120752	-1.446369	-0.445532
0.270	1.756444	0.433856	714.192612	-3.138191	10.265329	0.121070	-1.437333	-0.439404
0.280	1.822595	0.356369	714.743762	-3.084399	10.192502	0.117112	-1.426036	-0.431539
0.290	1.911425	0.296578	715.382182	-3.020665	10.103046	0.109363	-1.412259	-0.422245
0.300	2.020523	0.270545	716.035353	-2.950019	9.996016	0.098823	-1.396023	-0.411994
0.310	2.142842	0.288369	716.615239	-2.875326	9.872657	0.086721	-1.377679	-0.401237
0.320	2.268636	0.349934	717.033544	-2.798249	9.736620	0.074246	-1.357903	-0.390254
0.330	2.389186	0.444106	717.218934	-2.718858	9.593430	0.062299	-1.337587	-0.379083
0.340	2.500184	0.551902	717.130115	-2.636024	9.449420	0.051274	-1.317672	-0.367580
0.350	2.602671	0.652154	716.760214	-2.548452	9.310477	0.040929	-1.298967	-0.355552
0.360	2.700837	0.727361	716.132629	-2.455857	9.181011	0.030464	-1.282027	-0.342933
0.370	2.798166	0.767845	715.292968	-2.359572	9.063417	0.018836	-1.267092	-0.329875
0.380	2.894401	0.773386	714.302097	-2.262081	8.958148	0.005201	-1.254112	-0.316684
0.390	2.985108	0.752313	713.231931	-2.165581	8.864250	-0.010715	-1.242828	-0.303629
0.400	3.063859	0.718740	712.161672	-2.070387	8.780129	-0.028451	-1.232884	-0.290719
0.410	3.125531	0.689128	711.171148	-1.974190	8.704326	-0.046900	-1.223943	-0.277597
0.420	3.168820	0.679323	710.330328	-1.872696	8.636185	-0.064564	-1.215798	-0.263637
0.430	3.196655	0.702451	709.687786	-1.761392	8.576274	-0.079915	-1.208457	-0.248193
0.440	3.214237	0.767276	709.263298	-1.637559	8.526431	-0.091758	-1.202153	-0.230882
0.450	3.225663	0.876586	709.048873	-1.501562	8.489389	-0.099506	-1.197292	-0.211771
0.460	3.231059	1.025833	709.018116	-1.356905	8.468110	-0.103238	-1.194343	-0.191378
0.470	3.226209	1.202770	709.138701	-1.209184	8.465073	-0.103540	-1.193712	-0.170514
0.480	3.205163	1.388812	709.381406	-1.064601	8.481745	-0.101179	-1.195654	-0.150075
0.490	3.164220	1.562197	709.722909	-0.928773	8.518372	-0.096757	-1.200239	-0.130864
0.500	3.104482	1.702190	710.144628	-0.806206	8.574073	-0.090454	-1.207370	-0.113527
0.510	3.031241	1.793140	710.631321	-0.700210	8.647101	-0.081968	-1.216820	-0.098533
0.520	2.950808	1.827530	711.170806	-0.612809	8.735130	-0.070677	-1.228275	-0.086169
0.530	2.867095	1.807463	711.753784	-0.544385	8.835381	-0.055964	-1.241354	-0.076485
0.540	2.780202	1.744000	712.373078	-0.493207	8.944525	-0.037586	-1.255596	-0.069234
0.550	2.687881	1.653953	713.022720	-0.455353	9.058501	-0.015949	-1.270436	-0.063862
0.560	2.588962	1.554776	713.696429	-0.425447	9.172641	0.007810	-1.285230	-0.059612
0.570	2.486591	1.459388	714.383506	-0.398207	9.282360	0.031965	-1.299352	-0.055741
0.580	2.389032	1.373147	715.062068	-0.370192	9.384241	0.054551	-1.312367	-0.051771
0.590	2.307296	1.294293	715.694166	-0.340796	9.476866	0.073834	-1.324150	-0.047618
0.600	2.250952	1.217430	716.228783	-0.311914	9.560779	0.088747	-1.334878	-0.043549
0.610	2.224666	1.138165	716.613922	-0.286484	9.637589	0.099127	-1.344879	-0.039978
0.620	2.227330	1.056607	716.811925	-0.266902	9.708810	0.105669	-1.354443	-0.037235
0.630	2.253752	0.978144	716.809565	-0.254246	9.775178	0.109621	-1.363706	-0.035469
0.640	2.297356	0.911323	716.618409	-0.248523	9.836758	0.112375	-1.372663	-0.034680
0.650	2.352172	0.864160	716.267377	-0.249214	9.893620	0.115050	-1.381275	-0.034793
0.660	2.413385	0.840973	715.793045	-0.255398	9.946519	0.118208	-1.389580	-0.035680
0.670	2.476749	0.841146	715.232266	-0.265379	9.997087	0.121784	-1.397740	-0.037104
0.680	2.537765	0.859776	714.618493	-0.276392	10.047382	0.125271	-1.405979	-0.038677
0.690	2.591447	0.889097	713.980921	-0.284898	10.099186	0.128076	-1.414490	-0.039903
0.700	2.632857	0.919684	713.345237	-0.287447	10.153597	0.129839	-1.423378	-0.040296
0.710	2.657862	0.941247	712.735305	-0.281677	10.211293	0.130521	-1.432691	-0.039521
0.720	2.663464	0.943727	712.175103	-0.266937	10.273230	0.130221	-1.442515	-0.037482
0.730	2.647634	0.919562	711.689937	-0.244211	10.341288	0.128916	-1.453061	-0.034314
0.740	2.609097	0.867163	711.306284	-0.215267	10.418394	0.126321	-1.464685	-0.030264
0.750	2.547476	0.794176	711.050286	-0.181190	10.508053	0.121996	-1.477821	-0.025482
0.760	2.463832	0.718381	710.945020	-0.140843	10.613470	0.115643	-1.492868	-0.019811
0.770	2.361289	0.664728	711.006771	-0.090055	10.736596	0.107452	-1.510055	-0.012666
0.780	2.245273	0.658919	711.241514	-0.022152	10.877388	0.098322	-1.529352	-0.003115
0.790	2.123030	0.719857	711.643303	0.070236	11.033451	0.089799	-1.550419	0.009869
0.800	2.002572	0.854121	712.194891	0.192835	11.200184	0.083721	-1.572629	0.027076
0.810	1.891659	1.054630	712.868960	0.347798	11.371370	0.081712	-1.595156	0.048788
0.820	1.797328	1.303653	713.628246	0.532750	11.540107	0.084749	-1.617103	0.074654
0.830	1.725972	1.578470	714.424864	0.740972	11.699845	0.093005	-1.637659	0.103716
