Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	3.103761	0.282619	571.266830	14.916626	-9.853328	-0.369122	1.724821	2.611149
0.020	3.037686	0.190561	572.407122	14.845979	-9.945462	-0.367330	1.737481	2.593605
0.030	3.026342	0.094428	573.524874	14.759393	-10.060994	-0.366690	1.754238	2.573453
0.040	3.109818	-0.010350	574.584769	14.645591	-10.215932	-0.367538	1.777968	2.548900
0.050	3.303121	-0.128476	575.523611	14.500211	-10.414454	-0.369084	1.809562	2.519482
0.060	3.593192	-0.264822	576.251671	14.325896	-10.648551	-0.369870	1.847899	2.486049
0.070	3.944812	-0.423822	576.667188	14.130286	-10.901522	-0.368650	1.890436	2.450336
0.080	4.313343	-0.607921	576.679250	13.923087	-11.153526	-0.365159	1.934095	2.414355
0.090	4.658990	-0.815405	576.230520	13.713366	-11.386996	-0.360300	1.976118	2.379840
0.100	4.956549	-1.038522	575.312432	13.507792	-11.590214	-0.355643	2.014595	2.347906
0.110	5.197410	-1.262942	573.969617	13.310122	-11.758361	-0.352550	2.048603	2.318959
0.120	5.385060	-1.469325	572.294443	13.121814	-11.892370	-0.351455	2.078016	2.292843
0.130	5.528324	-1.637086	570.414788	12.943193	-11.996538	-0.351748	2.103125	2.269084
0.140	5.636298	-1.749488	568.477953	12.774434	-12.075983	-0.352247	2.124266	2.247129
0.150	5.716307	-1.798458	566.632563	12.616044	-12.134741	-0.351847	2.141554	2.226495
0.160	5.773756	-1.787380	565.010673	12.469065	-12.174847	-0.349886	2.154799	2.206872
0.170	5.811993	-1.730643	563.713545	12.335275	-12.196312	-0.346074	2.163566	2.188217
0.180	5.831340	-1.649851	562.804832	12.217328	-12.197699	-0.340233	2.167305	2.170793
0.190	5.827979	-1.568027	562.312825	12.118459	-12.177032	-0.332186	2.165526	2.155110
0.200	5.794078	-1.503953	562.239903	12.041618	-12.132807	-0.321898	2.157941	2.141722
0.210	5.719940	-1.468524	562.573860	11.988233	-12.064893	-0.309710	2.144588	2.130962
0.220	5.597711	-1.463942	563.294875	11.957178	-11.975062	-0.296452	2.125896	2.122721
0.230	5.425087	-1.485475	564.374652	11.944416	-11.866973	-0.283310	2.102676	2.116398
0.240	5.207077	-1.524733	565.769500	11.943641	-11.745659	-0.271492	2.076050	2.111044
0.250	4.954715	-1.573141	567.413375	11.947873	-11.616744	-0.261834	2.047316	2.105673
0.260	4.681350	-1.624378	569.217079	11.951526	-11.485615	-0.254493	2.017792	2.099643
0.270	4.398848	-1.674987	571.075306	11.952076	-11.356673	-0.248914	1.988647	2.092907
0.280	4.116021	-1.723229	572.877704	11.950515	-11.232777	-0.244062	1.960764	2.086050
0.290	3.839794	-1.767223	574.518419	11.950263	-11.115075	-0.238823	1.934677	2.080049
0.300	3.577518	-1.803633	575.901718	11.954971	-11.003362	-0.232364	1.910632	2.075870
0.310	3.338321	-1.827634	576.945672	11.966255	-10.896844	-0.224329	1.888712	2.074070
0.320	3.132524	-1.833932	577.587488	11.982541	-10.794967	-0.214851	1.868975	2.074585
0.330	2.969746	-1.818302	577.792213	11.999676	-10.697970	-0.204425	1.851526	2.076815
0.340	2.857088	-1.779204	577.562801	12.012970	-10.607093	-0.193769	1.836526	2.079942
0.350	2.798338	-1.719169	576.946439	12.019619	-10.524524	-0.183736	1.824177	2.083316
0.360	2.794067	-1.645326	576.031598	12.020379	-10.453197	-0.175278	1.814692	2.086757
0.370	2.841796	-1.568331	574.933561	12.019743	-10.396425	-0.169335	1.808283	2.090632
0.380	2.935736	-1.499514	573.771493	12.024497	-10.357310	-0.166589	1.805128	2.095694
0.390	3.066464	-1.447146	572.644375	12.041233	-10.337917	-0.167197	1.805294	2.102742
0.400	3.221334	-1.413474	571.614380	12.073890	-10.338366	-0.170697	1.808626	2.112244
0.410	3.385945	-1.394013	570.703894	12.122406	-10.356199	-0.176173	1.814636	2.124115
0.420	3.546251	-1.379489	569.907147	12.182993	-10.386396	-0.182595	1.822472	2.137715
