Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	7.766660	1.852283	740.199128	14.886348	-33.598167	0.147976	4.539071	2.011127
0.020	8.063026	1.731355	738.037564	14.793643	-33.841003	0.135856	4.585268	2.004457
0.030	8.362021	1.616156	735.885035	14.693662	-34.085538	0.123777	4.631911	1.996733
0.040	8.661411	1.512644	733.757247	14.580822	-34.332027	0.111784	4.678935	1.987145
0.050	8.952963	1.424727	731.671964	14.451326	-34.578424	0.099844	4.725946	1.975110
0.060	9.223285	1.354184	729.646996	14.302835	-34.819816	0.088072	4.772146	1.960240
0.070	9.457148	1.300554	727.697094	14.133628	-35.048371	0.076967	4.816341	1.942241
0.080	9.641906	1.260353	725.832436	13.942089	-35.253910	0.067388	4.857032	1.920841
0.090	9.770931	1.225763	724.060752	13.727062	-35.425093	0.060230	4.892558	1.895844
0.100	9.844495	1.183914	722.392481	13.488880	-35.550963	0.055941	4.921281	1.867251
0.110	9.867731	1.118260	720.846044	13.230261	-35.622486	0.054213	4.941761	1.835380
0.120	9.846697	1.012810	719.450360	12.956302	-35.633745	0.054077	4.952912	1.800861
0.130	9.784226	0.858216	718.243535	12.673475	-35.582513	0.054387	4.954101	1.764509
0.140	9.677259	0.656997	717.268739	12.388285	-35.470103	0.054454	4.945162	1.727147
0.150	9.516631	0.424940	716.569797	12.106405	-35.300623	0.054416	4.926334	1.689494
0.160	9.289592	0.187343	716.189164	11.832678	-35.079970	0.055083	4.898143	1.652172
0.170	8.984665	-0.028715	716.168657	11.571790	-34.814924	0.057255	4.861274	1.615791
0.180	8.597797	-0.202837	716.549235	11.328953	-34.512581	0.060876	4.816498	1.581043
0.190	8.137837	-0.326752	717.364489	11.109915	-34.180028	0.064495	4.764667	1.548713
0.200	7.628533	-0.404436	718.627044	10.920017	-33.824037	0.065418	4.706758	1.519567
0.210	7.104452	-0.447515	720.314443	10.762681	-33.450602	0.060603	4.643889	1.494164
0.220	6.600625	-0.468831	722.364264	10.638171	-33.064469	0.047932	4.577257	1.472688
0.230	6.139655	-0.477441	724.684087	10.543291	-32.669109	0.027237	4.508048	1.454881
0.240	5.723027	-0.476675	727.173672	10.472191	-32.267609	0.000545	4.437401	1.440122
0.250	5.332346	-0.465114	729.749833	10.417845	-31.864487	-0.028625	4.366495	1.427591
0.260	4.940994	-0.439244	732.362482	10.373569	-31.467664	-0.056560	4.296734	1.416453
0.270	4.530564	-0.396489	734.993666	10.333986	-31.089378	-0.080594	4.229884	1.405997
0.280	4.103334	-0.337566	737.638593	10.295139	-30.745094	-0.099696	4.168043	1.395689
0.290	3.684210	-0.267462	740.276352	10.253903	-30.450517	-0.114277	4.113399	1.385145
0.300	3.311548	-0.194804	742.844281	10.207088	-30.217854	-0.125509	4.067858	1.374055
0.310	3.022382	-0.129991	745.229259	10.150784	-30.052999	-0.134620	4.032719	1.362102
0.320	2.839947	-0.083048	747.281141	10.080209	-29.954783	-0.142441	4.008502	1.348918
0.330	2.768950	-0.062182	748.842961	9.990108	-29.916413	-0.149259	3.995018	1.334072
0.340	2.799076	-0.073316	749.785554	9.875475	-29.928301	-0.154893	3.991581	1.317107
0.350	2.913141	-0.120039	750.033808	9.732310	-29.981072	-0.158888	3.997296	1.297583
0.360	3.095183	-0.203369	749.576755	9.558118	-30.067671	-0.160803	4.011287	1.275135
0.370	3.334868	-0.321204	748.460874	9.352040	-30.183954	-0.160568	4.032803	1.249503
0.380	3.626925	-0.467992	746.772295	9.114686	-30.327861	-0.158862	4.061193	1.220544
0.390	3.966770	-0.635225	744.616778	8.847904	-30.497889	-0.157309	4.095783	1.188249
0.400	4.345406	-0.813031	742.105103	8.554642	-30.691747	-0.158240	4.135768	1.152753
0.410	4.746865	-0.992349	739.346705	8.238866	-30.905709	-0.163949	4.180138	1.114344
