Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	6.117091	-1.680044	650.336261	-1.302641	-11.909813	-0.628257	1.831331	-0.200303
0.020	5.982155	-1.635645	650.569325	-1.300057	-11.868924	-0.613771	1.824390	-0.199834
0.030	5.866996	-1.590567	650.831477	-1.290639	-11.827528	-0.599707	1.817295	-0.198306
0.040	5.784606	-1.543359	651.133310	-1.269605	-11.785342	-0.586780	1.809974	-0.194984
0.050	5.735670	-1.491772	651.456520	-1.235389	-11.742508	-0.575956	1.802501	-0.189635
0.060	5.708661	-1.433972	651.753535	-1.189467	-11.699461	-0.568225	1.795074	-0.182503
0.070	5.684297	-1.369870	651.959857	-1.135303	-11.656524	-0.564190	1.787920	-0.174137
0.080	5.642258	-1.301633	652.014597	-1.077068	-11.613497	-0.563671	1.781171	-0.165191
0.090	5.567666	-1.233219	651.880875	-1.018644	-11.569472	-0.565514	1.774783	-0.156262
0.100	5.455408	-1.169463	651.558643	-0.963048	-11.522928	-0.567709	1.768517	-0.147807
0.110	5.311300	-1.115245	651.086727	-0.912187	-11.471990	-0.567829	1.761976	-0.140102
0.120	5.149889	-1.074719	650.535284	-0.866712	-11.414720	-0.563703	1.754666	-0.133231
0.130	4.989619	-1.050158	649.992040	-0.825866	-11.349394	-0.554185	1.746082	-0.127058
0.140	4.847108	-1.040493	649.545711	-0.787395	-11.274784	-0.539695	1.735795	-0.121222
0.150	4.732676	-1.040463	649.269613	-0.747820	-11.190423	-0.522287	1.723540	-0.115179
0.160	4.648603	-1.041408	649.208205	-0.703196	-11.096804	-0.505077	1.709283	-0.108316
0.170	4.590237	-1.033763	649.369220	-0.650240	-10.995462	-0.491194	1.693253	-0.100134
0.180	4.548713	-1.010114	649.723388	-0.587367	-10.888932	-0.482652	1.675934	-0.090403
0.190	4.513804	-0.967322	650.212176	-0.515175	-10.780559	-0.479626	1.658006	-0.079232
0.200	4.476145	-0.906826	650.761203	-0.436225	-10.674134	-0.480455	1.640254	-0.067033
0.210	4.428945	-0.833301	651.295159	-0.354281	-10.573394	-0.482334	1.623441	-0.054396
0.220	4.369538	-0.752587	651.750547	-0.273387	-10.481611	-0.482345	1.608224	-0.041947
0.230	4.300708	-0.669982	652.084328	-0.197072	-10.401512	-0.478444	1.595118	-0.030222
0.240	4.231269	-0.589610	652.277649	-0.127784	-10.335495	-0.470106	1.584524	-0.019590
0.250	4.175111	-0.514768	652.334034	-0.066632	-10.285706	-0.458548	1.576754	-0.010214
0.260	4.148043	-0.448375	652.272613	-0.013470	-10.253558	-0.446489	1.571974	-0.002065
0.270	4.162592	-0.392584	652.119505	0.032607	-10.238777	-0.437521	1.570077	0.005000
0.280	4.222378	-0.347318	651.902367	0.072498	-10.238531	-0.435246	1.570562	0.011121
0.290	4.318679	-0.308620	651.651303	0.106408	-10.247277	-0.442389	1.572509	0.016329
0.300	4.431247	-0.268332	651.403982	0.133648	-10.257564	-0.460158	1.574685	0.020517
0.310	4.533695	-0.216118	651.208021	0.153080	-10.261575	-0.488038	1.575775	0.023507
0.320	4.601838	-0.143526	651.114228	0.163963	-10.253035	-0.523999	1.574691	0.025182
0.330	4.622108	-0.048454	651.160453	0.166769	-10.228936	-0.564932	1.570878	0.025611
0.340	4.596806	0.062030	651.352953	0.163591	-10.190483	-0.607093	1.564510	0.025116
0.350	4.543794	0.171956	651.655443	0.157935	-10.142757	-0.646539	1.556460	0.024236
0.360	4.490412	0.260228	651.993297	0.153952	-10.093070	-0.679672	1.548033	0.023613
0.370	4.463867	0.307152	652.273233	0.155273	-10.048605	-0.703944	1.540552	0.023805
0.380	4.481894	0.301720	652.410948	0.163802	-10.014293	-0.718531	1.534967	0.025107
0.390	4.547089	0.246734	652.355423	0.178944	-9.991712	-0.724647	1.531636	0.027430
0.400	4.646565	0.159120	652.101203	0.197717	-9.979236	-0.725259	1.530320	0.030320
0.410	4.756586	0.064624	651.686727	0.215918	-9.973091	-0.724196	1.530351	0.033132
0.420	4.850310	-0.011152	651.182429	0.229938	-9.968616	-0.724929	1.530848	0.035311
0.430	4.905883	-0.051369	650.674367	0.238430	-9.961094	-0.729446	1.530888	0.036644
0.440	4.911945	-0.052503	650.248726	0.242994	-9.946006	-0.737684	1.529569	0.037369
0.450	4.868611	-0.023533	649.981185	0.247504	-9.919024	-0.747772	1.526048	0.038079
0.460	4.784077	0.018764	649.931632	0.256386	-9.876264	-0.756938	1.519585	0.039448
0.470	4.669126	0.055689	650.139933	0.272625	-9.815021	-0.762607	1.509678	0.041933
0.480	4.532548	0.071476	650.616887	0.296472	-9.734827	-0.763198	1.496246	0.045568
0.490	4.379534	0.056224	651.329174	0.325388	-9.638427	-0.758440	1.479809	0.049957
0.500	4.213222	0.007057	652.185044	0.355189	-9.532133	-0.749283	1.461569	0.054461
0.510	4.037928	-0.071818	653.032991	0.381655	-9.425086	-0.737610	1.443279	0.058443
0.520	3.861915	-0.169551	653.683672	0.401695	-9.327290	-0.725866	1.426881	0.061451
0.530	3.697857	-0.269378	653.955327	0.413553	-9.246937	-0.716643	1.414001	0.063239
0.540	3.560349	-0.350057	653.729436	0.416213	-9.188028	-0.712207	1.405479	0.063667
0.550	3.461422	-0.388761	652.994499	0.408660	-9.149376	-0.714039	1.401141	0.062583
0.560	3.406257	-0.365899	651.857927	0.389581	-9.125520	-0.722478	1.399925	0.059765
0.570	3.391170	-0.271290	650.518754	0.357696	-9.109190	-0.736579	1.400296	0.054986
0.580	3.404741	-0.109862	649.210923	0.312435	-9.094233	-0.754197	1.400813	0.048125
0.590	3.431601	0.095675	648.139224	0.254498	-9.077758	-0.772269	1.400588	0.039266
0.600	3.457405	0.307339	647.431367	0.186086	-9.060736	-0.787244	1.399490	0.028742
0.610	3.472877	0.480158	647.120549	0.110801	-9.047018	-0.795663	1.398042	0.017122
0.620	3.475131	0.574352	647.159181	0.033233	-9.041363	-0.794838	1.397085	0.005135
0.630	3.465899	0.567429	647.453233	-0.041828	-9.047337	-0.783522	1.397373	-0.006460
0.640	3.448118	0.461572	647.901696	-0.110462	-9.065944	-0.762344	1.399278	-0.017049
0.650	3.423321	0.283186	648.427116	-0.170702	-9.095496	-0.733797	1.402701	-0.026326
0.660	3.391607	0.074431	648.988743	-0.223219	-9.132766	-0.701662	1.407230	-0.034395
0.670	3.354270	-0.120323	649.577127	-0.271313	-9.174895	-0.669940	1.412441	-0.041768
0.680	3.317335	-0.268282	650.195644	-0.320138	-9.221183	-0.641624	1.418217	-0.049237
0.690	3.293426	-0.357557	650.838387	-0.375321	-9.273872	-0.617769	1.424912	-0.057667
0.700	3.300050	-0.399225	651.474305	-0.441370	-9.337479	-0.597284	1.433284	-0.067749
0.710	3.354341	-0.421778	652.044747	-0.520373	-9.416769	-0.577597	1.444191	-0.079806
0.720	3.466318	-0.460077	652.476500	-0.611381	-9.514111	-0.555956	1.458154	-0.093702
0.730	3.633671	-0.542694	652.705801	-0.710645	-9.627321	-0.530777	1.474986	-0.108877
0.740	3.840582	-0.682115	652.702921	-0.812722	-9.749083	-0.502448	1.493648	-0.124516
0.750	4.061448	-0.870906	652.485495	-0.912194	-9.868376	-0.473237	1.512428	-0.139803
0.760	4.268400	-1.084478	652.113692	-1.005507	-9.973433	-0.446470	1.529401	-0.154192
0.770	4.439750	-1.288669	651.669177	-1.092163	-10.055070	-0.425393	1.542972	-0.167595
0.780	4.565892	-1.449231	651.227665	-1.174662	-10.109117	-0.412187	1.552317	-0.180377
0.790	4.650145	-1.540456	650.837901	-1.257152	-10.137090	-0.407422	1.557544	-0.193159
0.800	4.704433	-1.551021	650.516703	-1.343420	-10.144903	-0.410021	1.559515	-0.206516
0.810	4.742307	-1.486151	650.261200	-1.435203	-10.140182	-0.417650	1.559401	-0.220712
0.820	4.772997	-1.366136	650.069582	-1.531552	-10.129311	-0.427357	1.558189	-0.235598
0.830	4.799298	-1.221923	649.956865	-1.629361	-10.115550	-0.436255	1.556342	-0.250688
0.840	4.819510	-1.088781	649.955720	-1.724654	-10.098984	-0.442090	1.553796	-0.265349
0.850	4.831277	-0.999142	650.101337	-1.814039	-10.078175	-0.443566	1.550247	-0.279039
0.860	4.834456	-0.975720	650.407820	-1.895815	-10.052541	-0.440434	1.545575	-0.291481
0.870	4.831379	-1.026280	650.848142	-1.970354	-10.024143	-0.433388	1.540166	-0.302736
0.880	4.824666	-1.141441	651.349087	-2.039607	-9.997853	-0.423848	1.534945	-0.313136
0.890	4.814033	-1.296619	651.806995	-2.105948	-9.979683	-0.413659	1.531080	-0.323094
0.900	4.794016	-1.458204	652.120691	-2.170938	-9.974089	-0.404747	1.529485	-0.332904
0.910	4.754316	-1.592597	652.228367	-2.234675	-9.981631	-0.398719	1.530389	-0.342621
0.920	4.683336	-1.675450	652.130834	-2.296032	-9.998284	-0.396499	1.533172	-0.352082
0.930	4.573889	-1.697944	651.888525	-2.353551	-10.016877	-0.398073	1.536594	-0.361036
0.940	4.428605	-1.667810	651.593077	-2.406318	-10.030092	-0.402491	1.539318	-0.369298
