Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	15.244404	6.185382	479.614851	-6.578244	5.329467	-2.351056	-1.111197	-1.371568
0.020	15.364025	6.286417	480.088293	-6.543272	5.453456	-2.371125	-1.135928	-1.362931
0.030	15.477962	6.393642	480.452420	-6.505156	5.581568	-2.389880	-1.161732	-1.353965
0.040	15.579753	6.506506	480.627080	-6.460549	5.717481	-2.406153	-1.189588	-1.344192
0.050	15.661204	6.614966	480.571962	-6.405884	5.864257	-2.418641	-1.220266	-1.332971
0.060	15.712143	6.702110	480.289360	-6.338224	6.024158	-2.426003	-1.254277	-1.319668
0.070	15.721545	6.750971	479.815256	-6.256572	6.198803	-2.427132	-1.291915	-1.303954
0.080	15.680047	6.752085	479.203595	-6.162935	6.389576	-2.421504	-1.333374	-1.286079
0.090	15.582696	6.708266	478.510037	-6.062337	6.598117	-2.409463	-1.378888	-1.266920
0.100	15.430424	6.634521	477.780247	-5.961358	6.826679	-2.392409	-1.428832	-1.247720
0.110	15.229668	6.553285	477.045798	-5.865568	7.078122	-2.372901	-1.483741	-1.229561
0.120	14.990898	6.487275	476.328452	-5.777074	7.355472	-2.354558	-1.544202	-1.212834
0.130	14.727255	6.453285	475.650790	-5.693559	7.661158	-2.341653	-1.610669	-1.197004
0.140	14.453765	6.459443	475.048385	-5.609506	7.996245	-2.338400	-1.683248	-1.180828
0.150	14.186374	6.506219	474.577103	-5.519027	8.359997	-2.348128	-1.761568	-1.162936
0.160	13.939886	6.589576	474.309959	-5.418824	8.749934	-2.372581	-1.844771	-1.142465
0.170	13.724938	6.704119	474.321895	-5.309836	9.162284	-2.411496	-1.931660	-1.119458
0.180	13.545366	6.844931	474.666718	-5.196995	9.592623	-2.462557	-2.020917	-1.094872
0.190	13.397425	7.007963	475.355041	-5.087454	10.036424	-2.521761	-2.111353	-1.070243
