Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	-1.633567	-3.739135	539.066061	5.383505	43.064851	-0.570876	-7.988789	0.998673
0.020	-1.631645	-3.755459	538.591198	5.373275	43.020015	-0.575349	-7.987508	0.997654
0.030	-1.628593	-3.762146	538.207318	5.367719	42.974805	-0.578670	-7.984805	0.997333
0.040	-1.623200	-3.753010	537.977214	5.369522	42.929275	-0.580162	-7.979757	0.998095
0.050	-1.613998	-3.727238	537.915946	5.378311	42.883767	-0.579954	-7.972206	0.999842
0.060	-1.599159	-3.689735	537.991370	5.391149	42.838987	-0.578810	-7.962765	1.002088
0.070	-1.576921	-3.649532	538.140340	5.404051	42.795959	-0.577653	-7.952565	1.004208
0.080	-1.546504	-3.616819	538.292174	5.413660	42.755837	-0.577102	-7.942868	1.005710
0.090	-1.508873	-3.599661	538.390056	5.418319	42.719582	-0.577250	-7.934690	1.006393
0.100	-1.466701	-3.601610	538.403978	5.418215	42.687539	-0.577721	-7.928533	1.006348
0.110	-1.423502	-3.621043	538.333227	5.414813	42.659091	-0.577893	-7.924291	1.005848
0.120	-1.382445	-3.652291	538.200228	5.410086	42.632624	-0.577123	-7.921331	1.005218
0.130	-1.345390	-3.687824	538.039693	5.405953	42.605984	-0.574923	-7.918744	1.004750
0.140	-1.312420	-3.720474	537.887482	5.403947	42.577290	-0.571046	-7.915650	1.004661
0.150	-1.281962	-3.745021	537.772419	5.404979	42.545708	-0.565473	-7.911471	1.005068
0.160	-1.251584	-3.758960	537.712269	5.409131	42.511816	-0.558312	-7.906053	1.005953
0.170	-1.219390	-3.762507	537.713068	5.415568	42.477448	-0.549692	-7.899650	1.007148
0.180	-1.185491	-3.757974	537.770140	5.422707	42.445110	-0.539782	-7.892798	1.008369
0.190	-1.152775	-3.748751	537.869627	5.428718	42.417254	-0.528925	-7.886159	1.009300
0.200	-1.126537	-3.738264	537.990883	5.432220	42.395716	-0.517779	-7.880378	1.009723
0.210	-1.113100	-3.729251	538.110773	5.432837	42.381528	-0.507308	-7.875986	1.009613
0.220	-1.117857	-3.723472	538.209680	5.431337	42.375022	-0.498545	-7.873330	1.009149
0.230	-1.143242	-3.721730	538.276954	5.429323	42.375928	-0.492245	-7.872514	1.008649
0.240	-1.187245	-3.724016	538.313295	5.428710	42.383311	-0.488583	-7.873354	1.008467
0.250	-1.243231	-3.729711	538.329085	5.431240	42.395422	-0.487076	-7.875373	1.008907
0.260	-1.301371	-3.737968	538.339656	5.438070	42.409794	-0.486754	-7.877888	1.010156
0.270	-1.351280	-3.748281	538.359688	5.449494	42.423743	-0.486510	-7.880186	1.012240
0.280	-1.384805	-3.760869	538.399082	5.464850	42.435169	-0.485461	-7.881731	1.015019
0.290	-1.397928	-3.776376	538.461594	5.482722	42.443195	-0.483177	-7.882307	1.018220
0.300	-1.391160	-3.794919	538.545735	5.501307	42.448223	-0.479697	-7.882009	1.021511
0.310	-1.368497	-3.815152	538.646165	5.518768	42.451332	-0.475415	-7.881117	1.024563
0.320	-1.335620	-3.834123	538.754041	5.533450	42.453361	-0.470938	-7.879915	1.027083
0.330	-1.298222	-3.848086	538.856282	5.544010	42.454256	-0.466993	-7.878586	1.028848
0.340	-1.261100	-3.853825	538.934970	5.549609	42.453081	-0.464334	-7.877218	1.029736
0.350	-1.227988	-3.849814	538.968348	5.550108	42.448664	-0.463595	-7.875910	1.029765
0.360	-1.201746	-3.836686	538.934414	5.546114	42.440479	-0.465068	-7.874888	1.029089
0.370	-1.184489	-3.816828	538.817215	5.538817	42.429208	-0.468459	-7.874509	1.027958
0.380	-1.177446	-3.793289	538.614304	5.529722	42.416664	-0.472845	-7.875146	1.026657
0.390	-1.180710	-3.768689	538.341963	5.520417	42.405221	-0.476939	-7.877005	1.025448
0.400	-1.193392	-3.744841	538.034765	5.512350	42.397188	-0.479639	-7.880009	1.024534
0.410	-1.214529	-3.723324	537.738598	5.506561	42.394512	-0.480517	-7.883851	1.024022
0.420	-1.244252	-3.706443	537.499801	5.503409	42.398882	-0.479977	-7.888167	1.023890
