Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	-0.222213	-2.357210	484.336455	-10.858063	24.561198	-0.302214	-5.071102	-2.241843
0.020	-0.456634	-2.469965	482.799117	-10.940764	24.530253	-0.294292	-5.080841	-2.266111
0.030	-0.657357	-2.574042	481.238822	-11.005530	24.486906	-0.287740	-5.088306	-2.286916
0.040	-0.794711	-2.660911	479.647278	-11.039530	24.421862	-0.284050	-5.091629	-2.301593
0.050	-0.848152	-2.723924	478.043277	-11.037975	24.331132	-0.284462	-5.089734	-2.308991
0.060	-0.810833	-2.759255	476.471966	-11.004036	24.216577	-0.289568	-5.082477	-2.309482
0.070	-0.692071	-2.766511	474.994193	-10.946378	24.085052	-0.298930	-5.070599	-2.304529
0.080	-0.516136	-2.748919	473.671023	-10.875875	23.946746	-0.310945	-5.055565	-2.296082
0.090	-0.317027	-2.713143	472.551470	-10.802921	23.813213	-0.323113	-5.039285	-2.286083
0.100	-0.130438	-2.668609	471.669738	-10.735867	23.695364	-0.332722	-5.023719	-2.276141
0.110	0.014844	-2.626080	471.052081	-10.680387	23.601602	-0.337742	-5.010402	-2.267347
0.120	0.103687	-2.595426	470.726682	-10.639185	23.536445	-0.337554	-5.000024	-2.260162
0.130	0.137616	-2.583011	470.727874	-10.611637	23.500059	-0.333241	-4.992281	-2.254304
0.140	0.133253	-2.589368	471.089524	-10.593491	23.488838	-0.327301	-4.986067	-2.248721
0.150	0.116518	-2.607918	471.828624	-10.577120	23.496715	-0.322926	-4.979926	-2.241729
0.160	0.113893	-2.625438	472.925264	-10.552750	23.516618	-0.323103	-4.972587	-2.231378
0.170	0.143022	-2.624670	474.307597	-10.510452	23.541652	-0.329822	-4.963372	-2.215957
0.180	0.205727	-2.588479	475.849616	-10.442176	23.565818	-0.343639	-4.952367	-2.194428
0.190	0.286371	-2.503882	477.385659	-10.343066	23.584370	-0.363659	-4.940318	-2.166606
0.200	0.356745	-2.364150	478.739473	-10.211728	23.593962	-0.387916	-4.928351	-2.133045
0.210	0.386042	-2.168290	479.759498	-10.049562	23.592654	-0.413953	-4.917600	-2.094708
0.220	0.352343	-1.918962	480.348892	-9.859572	23.579735	-0.439380	-4.908877	-2.052585
0.230	0.251429	-1.620874	480.480796	-9.645115	23.555354	-0.462205	-4.902455	-2.007388
0.240	0.099537	-1.281173	480.195298	-9.409074	23.520072	-0.480902	-4.898022	-1.959427
0.250	-0.071223	-0.911566	479.581158	-9.153802	23.474512	-0.494379	-4.894794	-1.908708
0.260	-0.223104	-0.530379	478.749540	-8.881862	23.419231	-0.502043	-4.891750	-1.855221
0.270	-0.324680	-0.162372	477.807927	-8.597074	23.354901	-0.504052	-4.887927	-1.799274
0.280	-0.360333	0.164918	476.840767	-8.305029	23.282732	-0.501604	-4.882706	-1.741678
0.290	-0.334546	0.428011	475.900755	-8.012417	23.204960	-0.496998	-4.876008	-1.683632
0.300	-0.270113	0.615572	475.011617	-7.725163	23.125078	-0.493258	-4.868318	-1.626310
0.310	-0.200904	0.734652	474.180024	-7.446193	23.047605	-0.493369	-4.860518	-1.570330
0.320	-0.161297	0.811861	473.411639	-7.173980	22.977395	-0.499457	-4.853576	-1.515379
0.330	-0.175490	0.887417	472.725465	-6.902762	22.918673	-0.512272	-4.848199	-1.460205
0.340	-0.249976	1.002801	472.161678	-6.624638	22.874107	-0.531115	-4.844550	-1.403044
0.350	-0.371217	1.185896	471.779778	-6.332954	22.844094	-0.554126	-4.842110	-1.342354
0.360	-0.508840	1.439570	471.645987	-6.025852	22.826415	-0.578749	-4.839735	-1.277622
0.370	-0.623414	1.738830	471.812311	-5.708598	22.816325	-0.602212	-4.835890	-1.209930
0.380	-0.677011	2.038394	472.294081	-5.393571	22.807180	-0.621965	-4.829021	-1.141994
0.390	-0.643990	2.288064	473.055375	-5.097631	22.791658	-0.636017	-4.817968	-1.077597
0.400	-0.518714	2.450044	474.009867	-4.837649	22.763366	-0.643195	-4.802298	-1.020580
0.410	-0.317177	2.511506	475.038079	-4.625794	22.718354	-0.643283	-4.782428	-0.973773
0.420	-0.071399	2.487888	476.014123	-4.466220	22.655902	-0.637066	-4.759502	-0.938254
0.430	0.181362	2.416212	476.830958	-4.354291	22.578267	-0.626209	-4.735067	-0.913173
0.440	0.409973	2.341591	477.415633	-4.278547	22.489558	-0.612987	-4.710687	-0.896189
0.450	0.596505	2.302344	477.732519	-4.224616	22.394340	-0.599923	-4.687631	-0.884306
0.460	0.736557	2.319071	477.778020	-4.179567	22.296564	-0.589421	-4.666720	-0.874793
0.470	0.834104	2.390958	477.571997	-4.135099	22.199096	-0.583401	-4.648324	-0.865859
0.480	0.895015	2.499603	477.150728	-4.088619	22.103772	-0.582896	-4.632451	-0.856882
0.490	0.923486	2.618077	476.564740	-4.042222	22.011711	-0.587712	-4.618829	-0.848200
0.500	0.922810	2.721466	475.881374	-4.000415	21.923603	-0.596344	-4.606947	-0.840633
0.510	0.898453	2.794994	475.186922	-3.967697	21.839809	-0.606299	-4.596046	-0.834976
0.520	0.859944	2.837009	474.581034	-3.946825	21.760284	-0.614784	-4.585157	-0.831644
0.530	0.819550	2.856302	474.159905	-3.938123	21.684430	-0.619503	-4.573231	-0.830547
0.540	0.788475	2.865487	473.992248	-3.939761	21.611020	-0.619276	-4.559362	-0.831187
0.550	0.773086	2.873750	474.097682	-3.948722	21.538260	-0.614230	-4.543000	-0.832892
0.560	0.773475	2.882307	474.437856	-3.962042	21.464069	-0.605460	-4.524105	-0.835102
0.570	0.785022	2.884185	474.925677	-3.977922	21.386611	-0.594335	-4.503149	-0.837588
0.580	0.801846	2.867678	475.449837	-3.996450	21.304893	-0.581833	-4.480997	-0.840562
0.590	0.820164	2.821439	475.905029	-4.019866	21.219144	-0.568312	-4.458693	-0.844678
0.600	0.839868	2.739067	476.216783	-4.052324	21.130785	-0.553815	-4.437220	-0.850941
0.610	0.863785	2.621599	476.353670	-4.099143	21.042036	-0.538635	-4.417314	-0.860525
0.620	0.895397	2.477228	476.325706	-4.165500	20.955387	-0.523653	-4.399382	-0.874507
0.630	0.936523	2.318706	476.172697	-4.254762	20.873151	-0.510165	-4.383525	-0.893533
0.640	0.986025	2.159771	475.948463	-4.366882	20.797130	-0.499289	-4.369618	-0.917512
0.650	1.039710	2.012086	475.706540	-4.497549	20.728352	-0.491368	-4.357382	-0.945446
0.660	1.091071	1.883564	475.490958	-4.638672	20.666885	-0.485759	-4.346431	-0.975554
0.670	1.132526	1.778148	475.332802	-4.780299	20.611866	-0.481152	-4.336302	-1.005674
0.680	1.157014	1.696538	475.250910	-4.913312	20.561885	-0.476273	-4.326532	-1.033835
0.690	1.159744	1.637208	475.254646	-5.031800	20.515667	-0.470603	-4.316773	-1.058759
0.700	1.139671	1.597348	475.347409	-5.134135	20.472687	-0.464729	-4.306889	-1.080081
0.710	1.099949	1.573770	475.529733	-5.222382	20.433310	-0.460122	-4.296957	-1.098224
0.720	1.046683	1.563788	475.800639	-5.300480	20.398224	-0.458445	-4.287137	-1.114013
0.730	0.986338	1.565854	476.156516	-5.372168	20.367398	-0.460724	-4.277459	-1.128236
0.740	0.923461	1.579471	476.588324	-5.439684	20.339046	-0.466760	-4.267634	-1.141380
0.750	0.860401	1.604245	477.078815	-5.503702	20.309083	-0.475051	-4.256966	-1.153625
0.760	0.799010	1.638609	477.601667	-5.564271	20.271269	-0.483257	-4.244388	-1.165044
0.770	0.742548	1.679209	478.124583	-5.622071	20.218006	-0.489050	-4.228606	-1.175859
0.780	0.696042	1.721523	478.617299	-5.679392	20.141585	-0.490956	-4.208286	-1.186625
0.790	0.665145	1.761092	479.061869	-5.740471	20.035540	-0.488776	-4.182245	-1.198273
0.800	0.655104	1.793977	479.458663	-5.810973	19.895676	-0.483385	-4.149612	-1.211986
0.810	0.671130	1.815466	479.821759	-5.896613	19.720531	-0.476054	-4.109970	-1.228917
0.820	0.719539	1.817376	480.163375	-6.001281	19.511291	-0.467699	-4.063469	-1.249841
0.830	0.807741	1.785704	480.474758	-6.125453	19.271365	-0.458492	-4.010901	-1.274875
0.840	0.941958	1.700876	480.715061	-6.265697	19.005727	-0.447999	-3.953637	-1.303412
0.850	1.123800	1.542140	480.816482	-6.415482	18.720121	-0.435706	-3.893403	-1.334289
0.860	1.348051	1.295611	480.704904	-6.566848	18.420290	-0.421574	-3.831933	-1.366087
0.870	1.603024	0.963221	480.326489	-6.712088	18.111514	-0.406273	-3.770667	-1.397401
0.880	1.872880	0.568448	479.668166	-6.844818	17.798597	-0.391015	-3.710606	-1.426990
0.890	2.140315	0.155450	478.764305	-6.960329	17.486158	-0.377161	-3.652352	-1.453811
0.900	2.388766	-0.219097	477.688809	-7.055614	17.178809	-0.365896	-3.596234	-1.477031
0.910	2.604488	-0.498964	476.537591	-7.129632	16.880912	-0.358064	-3.542409	-1.496132
0.920	2.779006	-0.641933	475.409157	-7.183935	16.595907	-0.354105	-3.490868	-1.511106
0.930	2.911457	-0.629893	474.389855	-7.223234	16.325552	-0.354010	-3.441379	-1.522637
0.940	3.009450	-0.472790	473.545588	-7.255208	16.069586	-0.357315	-3.393461	-1.532103
0.950	3.087357	-0.205629	472.917532	-7.289285	15.826154	-0.363162	-3.346493	-1.541344
0.960	3.162278	0.120285	472.519432	-7.334755	15.592851	-0.370415	-3.299939	-1.552265
0.970	3.249180	0.449156	472.337454	-7.399019	15.367838	-0.377782	-3.253572	-1.566469
0.980	3.357129	0.732208	472.335471	-7.486549	15.150501	-0.383895	-3.207572	-1.585007
0.990	3.487900	0.936100	472.466028	-7.598702	14.941457	-0.387397	-3.162440	-1.608307
1.000	3.636911	1.046775	472.682802	-7.734100	14.742125	-0.387044	-3.118820	-1.636214
1.010	3.795391	1.068647	472.949294	-7.889247	14.554185	-0.381871	-3.077325	-1.668096
1.020	3.952655	1.019985	473.241682	-8.059166	14.379186	-0.371441	-3.038444	-1.702970
1.030	4.098081	0.925895	473.547353	-8.238065	14.218286	-0.356130	-3.002506	-1.739650
1.040	4.222886	0.810773	473.861763	-8.420050	14.072014	-0.337299	-2.969645	-1.776900
1.050	4.321495	0.692239	474.185290	-8.599819	13.940004	-0.317160	-2.939780	-1.813599
1.060	4.391940	0.578165	474.520351	-8.773207	13.820906	-0.298245	-2.912605	-1.848858
1.070	4.435021	0.467414	474.868031	-8.937546	13.712627	-0.282615	-2.887671	-1.882111
1.080	4.452934	0.353700	475.224119	-9.091858	13.612855	-0.271185	-2.864513	-1.913173
