Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	2.644980	-3.009059	684.808804	-4.011635	-9.342041	0.111721	1.364182	-0.585804
0.020	2.343199	-3.198921	686.252756	-3.954132	-9.342151	0.164054	1.361328	-0.576192
0.030	2.118007	-3.334872	687.545837	-3.885995	-9.353786	0.215097	1.360460	-0.565198
0.040	2.022065	-3.371332	688.556365	-3.797823	-9.385035	0.262992	1.363002	-0.551563
0.050	2.071995	-3.282148	689.188223	-3.683853	-9.438613	0.305397	1.369526	-0.534521
0.060	2.247021	-3.068088	689.390607	-3.543599	-9.511957	0.340222	1.379763	-0.514019
0.070	2.499998	-2.759076	689.159466	-3.382572	-9.598991	0.366760	1.392855	-0.490826
0.080	2.775567	-2.408755	688.531253	-3.211623	-9.692524	0.386590	1.407710	-0.466446
0.090	3.028056	-2.081975	687.572554	-3.044898	-9.786307	0.403596	1.423313	-0.442848
0.100	3.233073	-1.838981	686.370182	-2.896860	-9.876226	0.422884	1.438907	-0.422055
0.110	3.390435	-1.721376	685.024521	-2.779121	-9.960627	0.448973	1.454054	-0.405697
0.120	3.519455	-1.744075	683.645557	-2.697863	-10.039946	0.484079	1.468589	-0.394629
0.130	3.649216	-1.895019	682.348258	-2.652478	-10.115800	0.527215	1.482498	-0.388728
0.140	3.806596	-2.141560	681.243858	-2.635692	-10.189785	0.574429	1.495762	-0.386894
0.150	4.004952	-2.440188	680.426456	-2.635083	-10.262405	0.619944	1.508231	-0.387269
0.160	4.236905	-2.745762	679.958521	-2.635605	-10.332656	0.657692	1.519601	-0.387613
0.170	4.474442	-3.017765	679.861325	-2.622617	-10.398473	0.682697	1.529499	-0.385758
0.180	4.677329	-3.223429	680.114818	-2.584904	-10.457765	0.691965	1.537647	-0.380069
0.190	4.807226	-3.339120	680.666839	-2.517077	-10.509443	0.684795	1.543992	-0.369796
0.200	4.841788	-3.351341	681.447180	-2.420787	-10.553922	0.662650	1.548751	-0.355242
0.210	4.782538	-3.257716	682.380682	-2.304417	-10.592965	0.628746	1.552354	-0.337703
0.220	4.652985	-3.067636	683.395646	-2.181327	-10.629164	0.587565	1.555346	-0.319189
0.230	4.488259	-2.801944	684.427216	-2.066940	-10.665527	0.544262	1.558314	-0.301996
0.240	4.321769	-2.491004	685.417961	-1.975182	-10.705340	0.503936	1.561870	-0.288172
0.250	4.175592	-2.170729	686.318157	-1.915010	-10.752083	0.470726	1.566632	-0.279027
0.260	4.058501	-1.876935	687.086493	-1.888156	-10.809001	0.446989	1.573165	-0.274806
0.270	3.970618	-1.639237	687.690081	-1.889084	-10.878193	0.432890	1.581845	-0.274700
0.280	3.909867	-1.476023	688.102529	-1.907374	-10.959471	0.426624	1.592709	-0.277193
0.290	3.875297	-1.391973	688.300575	-1.931522	-11.049480	0.425235	1.605328	-0.280622
0.300	3.865720	-1.378912	688.261943	-1.952502	-11.141550	0.425757	1.618795	-0.283686
0.310	3.876110	-1.419654	687.967870	-1.965621	-11.226583	0.426204	1.631847	-0.285714
0.320	3.896169	-1.493243	687.412133	-1.970236	-11.295013	0.426019	1.643121	-0.286616
0.330	3.913945	-1.579653	686.614450	-1.967974	-11.339459	0.425792	1.651503	-0.286620
0.340	3.923489	-1.662844	685.631922	-1.960709	-11.357176	0.426502	1.656454	-0.285971
0.350	3.931898	-1.732204	684.560865	-1.949295	-11.351178	0.428747	1.658169	-0.284751
0.360	3.960344	-1.782832	683.524206	-1.933319	-11.329333	0.432364	1.657488	-0.282846
0.370	4.036507	-1.814811	682.645695	-1.911487	-11.301638	0.436520	1.655564	-0.280012
0.380	4.180803	-1.831262	682.018901	-1.882134	-11.276722	0.440127	1.653433	-0.275965
0.390	4.392676	-1.835196	681.682980	-1.843612	-11.258944	0.442285	1.651639	-0.270450
0.400	4.643976	-1.826149	681.615692	-1.794611	-11.247109	0.442555	1.650066	-0.263288
0.410	4.883438	-1.798316	681.746526	-1.734607	-11.235126	0.440991	1.647992	-0.254436
0.420	5.051368	-1.741710	681.983183	-1.664418	-11.214098	0.438021	1.644336	-0.244056
0.430	5.098957	-1.646419	682.239521	-1.586601	-11.174981	0.434314	1.637985	-0.232558
0.440	5.004458	-1.508318	682.455211	-1.505320	-11.110958	0.430667	1.628086	-0.220574
0.450	4.779700	-1.333688	682.604183	-1.425608	-11.018961	0.427886	1.614253	-0.208848
0.460	4.464643	-1.140561	682.694926	-1.352333	-10.900190	0.426641	1.596641	-0.198087
0.470	4.112845	-0.956060	682.767343	-1.289356	-10.759775	0.427389	1.575907	-0.188843
0.480	3.774344	-0.810641	682.887924	-1.239123	-10.606033	0.430416	1.553115	-0.181453
0.490	3.483134	-0.731150	683.140942	-1.202597	-10.449655	0.435912	1.529649	-0.176039
0.500	3.253755	-0.734455	683.612147	-1.179225	-10.302852	0.443891	1.507119	-0.172499
0.510	3.086733	-0.822906	684.364451	-1.166809	-10.178082	0.453874	1.487231	-0.170495
0.520	2.978001	-0.982574	685.410622	-1.161446	-10.086035	0.464489	1.471532	-0.169453
0.530	2.925875	-1.185023	686.692770	-1.157900	-10.033085	0.473277	1.461073	-0.168620
0.540	2.931644	-1.392502	688.079165	-1.150544	-10.019120	0.477024	1.456100	-0.167211
0.550	2.994490	-1.565422	689.384030	-1.134685	-10.036884	0.472661	1.455921	-0.164594
0.560	3.105021	-1.670251	690.406876	-1.107845	-10.073457	0.458433	1.459061	-0.160463
0.570	3.242195	-1.685912	690.979374	-1.070529	-10.113551	0.434788	1.463655	-0.154929
0.580	3.376299	-1.607241	691.004397	-1.026148	-10.143478	0.404492	1.467932	-0.148501
0.590	3.477378	-1.444969	690.475195	-0.980002	-10.154341	0.371889	1.470631	-0.141932
0.600	3.525577	-1.222748	689.470253	-0.937612	-10.143373	0.341604	1.471184	-0.135990
0.610	3.518439	-0.972132	688.127635	-0.903046	-10.113201	0.317260	1.469669	-0.131232
