Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	2.617305	2.669247	500.215621	15.980423	3.592021	-0.323088	-0.718095	3.194707
0.020	2.546448	2.462259	500.272670	15.758591	3.582872	-0.314922	-0.716184	3.150000
0.030	2.491202	2.252330	500.274993	15.537216	3.573310	-0.307710	-0.714269	3.105735
0.040	2.460936	2.039672	500.180997	15.316660	3.563437	-0.302013	-0.712429	3.062223
0.050	2.455779	1.827615	499.971682	15.096728	3.553596	-0.297866	-0.710760	3.019517
0.060	2.468970	1.621583	499.650830	14.876782	3.544199	-0.294874	-0.709335	2.977436
0.070	2.492625	1.427368	499.239102	14.656324	3.535635	-0.292540	-0.708205	2.935732
0.080	2.523110	1.249997	498.766258	14.435839	3.528397	-0.290675	-0.707425	2.894309
0.090	2.562699	1.093780	498.264797	14.217395	3.523298	-0.289732	-0.707114	2.853381
0.100	2.616852	0.963103	497.766393	14.004622	3.521637	-0.290856	-0.707488	2.813493
0.110	2.689246	0.863026	497.300654	13.802134	3.525215	-0.295555	-0.708870	2.775410
0.120	2.777597	0.799038	496.894284	13.614815	3.536174	-0.305038	-0.711655	2.739982
0.130	2.872356	0.776028	496.568886	13.447347	3.556734	-0.319559	-0.716262	2.708053
0.140	2.958642	0.797058	496.337584	13.303992	3.588978	-0.338164	-0.723092	2.680432
0.150	3.020275	0.862400	496.202141	13.188344	3.634783	-0.358933	-0.732521	2.657857
0.160	3.044039	0.968772	496.152096	13.102727	3.695828	-0.379516	-0.744898	2.640869
0.170	3.022616	1.108373	496.166960	13.047250	3.773521	-0.397621	-0.760534	2.629609
0.180	2.955550	1.267669	496.222058	13.018870	3.868745	-0.411312	-0.779640	2.623598
0.190	2.848612	1.426659	496.297263	13.010963	3.981517	-0.419123	-0.802244	2.621607
0.200	2.712525	1.559886	496.385986	13.013783	4.110702	-0.420155	-0.828126	2.621706
0.210	2.561946	1.640030	496.501278	13.015838	4.253844	-0.414214	-0.856764	2.621511
0.220	2.414780	1.643826	496.676759	13.005898	4.407047	-0.402011	-0.887307	2.618584
0.230	2.290964	1.558719	496.960791	12.975125	4.565020	-0.385283	-0.918588	2.610895
0.240	2.209538	1.387926	497.402453	12.918711	4.721533	-0.366711	-0.949238	2.597235
0.250	2.183670	1.151790	498.030368	12.836630	4.870564	-0.349492	-0.977965	2.577479
0.260	2.215006	0.884551	498.831279	12.733364	5.007947	-0.336618	-1.003936	2.552639
0.270	2.290119	0.627392	499.739741	12.616788	5.132848	-0.330091	-1.027104	2.524672
0.280	2.381672	0.419877	500.647092	12.496598	5.248153	-0.330389	-1.048274	2.496089
0.290	2.454967	0.292162	501.428219	12.382621	5.359368	-0.336433	-1.068821	2.469470
0.300	2.477865	0.259744	501.975571	12.283271	5.472430	-0.346065	-1.090179	2.446986
0.310	2.430187	0.321722	502.226819	12.204380	5.591468	-0.356765	-1.113335	2.430053
0.320	2.309107	0.462716	502.176057	12.148608	5.717468	-0.366315	-1.138539	2.419193
0.330	2.129166	0.657608	501.866365	12.115669	5.848292	-0.373191	-1.165309	2.414122
0.340	1.917894	0.877448	501.369732	12.103351	5.979841	-0.376743	-1.192701	2.414057
0.350	1.708984	1.094870	500.764345	12.108896	6.107750	-0.377250	-1.219685	2.418083
0.360	1.534625	1.287976	500.117707	12.129943	6.228878	-0.375828	-1.245482	2.425418
0.370	1.418162	1.442366	499.479231	12.164432	6.342085	-0.373992	-1.269739	2.435423
0.380	1.368595	1.551271	498.881295	12.209510	6.448244	-0.372869	-1.292541	2.447378
0.390	1.378837	1.614134	498.345253	12.260137	6.549758	-0.372354	-1.314301	2.460169
0.400	1.428810	1.634331	497.888261	12.308427	6.649879	-0.370784	-1.335617	2.472126
0.410	1.492314	1.616987	497.527310	12.344515	6.752014	-0.365475	-1.357114	2.481173
0.420	1.544776	1.567797	497.278844	12.359099	6.859104	-0.353985	-1.379328	2.485346
0.430	1.569031	1.493252	497.155425	12.346799	6.973106	-0.335505	-1.402601	2.483489
0.440	1.558031	1.401938	497.163074	12.308853	7.094567	-0.311677	-1.427010	2.475818
0.450	1.515010	1.305750	497.301940	12.253772	7.222259	-0.286448	-1.452288	2.464051
0.460	1.451982	1.219630	497.569282	12.195405	7.353027	-0.264988	-1.477790	2.450996
0.470	1.386598	1.159088	497.960941	12.149018	7.482127	-0.252090	-1.502553	2.439753
0.480	1.336900	1.136117	498.468380	12.126674	7.604229	-0.250586	-1.525519	2.432787
0.490	1.314568	1.155321	499.072089	12.133480	7.714861	-0.260364	-1.545841	2.431208
