Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	7.601892	-1.544626	667.903559	2.528517	14.724695	-1.756675	-2.204614	0.378575
0.020	7.471192	-1.394145	667.506597	2.568306	14.849812	-1.771550	-2.224669	0.384761
0.030	7.327173	-1.264335	667.196642	2.598268	14.974769	-1.782888	-2.244431	0.389431
0.040	7.160210	-1.171965	667.031121	2.611153	15.099631	-1.787893	-2.263707	0.391459
0.050	6.966226	-1.126540	667.022143	2.603945	15.225529	-1.785158	-2.282612	0.390384
0.060	6.747532	-1.128808	667.136967	2.577599	15.354867	-1.775182	-2.301606	0.386367
0.070	6.512297	-1.171139	667.314492	2.535558	15.491055	-1.760454	-2.321402	0.379964
0.080	6.272594	-1.239423	667.489735	2.482101	15.637738	-1.744896	-2.342768	0.371856
0.090	6.041107	-1.316092	667.615641	2.421307	15.797583	-1.732757	-2.366269	0.362680
0.100	5.827360	-1.384085	667.674383	2.356694	15.970913	-1.727364	-2.392021	0.352970
0.110	5.635257	-1.431315	667.676465	2.291123	16.154616	-1.730180	-2.419528	0.343149
0.120	5.463458	-1.454423	667.651038	2.226563	16.341810	-1.740506	-2.447657	0.333492
0.130	5.308524	-1.460104	667.632583	2.163639	16.522547	-1.755868	-2.474796	0.324076
0.140	5.168909	-1.463010	667.648308	2.101348	16.685448	-1.772878	-2.499137	0.314739
0.150	5.047384	-1.480812	667.709469	2.037390	16.819766	-1.788208	-2.519025	0.305131
0.160	4.950483	-1.528404	667.808853	1.969256	16.917261	-1.799405	-2.533249	0.294883
0.170	4.885399	-1.613343	667.925192	1.895729	16.973374	-1.805334	-2.541209	0.283824
0.180	4.856174	-1.733850	668.032736	1.818174	16.987422	-1.806216	-2.542903	0.272168
0.190	4.861290	-1.879562	668.111754	1.740964	16.961897	-1.803310	-2.538781	0.260580
0.200	4.893954	-2.034435	668.155155	1.670691	16.901179	-1.798403	-2.529529	0.250045
0.210	4.944938	-2.180768	668.168357	1.614323	16.810121	-1.793303	-2.515851	0.241604
0.220	5.006587	-2.303253	668.163071	1.577035	16.692910	-1.789469	-2.498329	0.236025
0.230	5.075952	-2.391982	668.149167	1.560689	16.552459	-1.787821	-2.477360	0.233584
0.240	5.155571	-2.443549	668.129682	1.563626	16.390353	-1.788713	-2.453169	0.234030
0.250	5.251848	-2.460054	668.101605	1.581793	16.207187	-1.792041	-2.425857	0.236759
0.260	5.372349	-2.446835	668.061258	1.610612	16.003064	-1.797409	-2.395449	0.241087
0.270	5.523594	-2.410191	668.010901	1.646767	15.778043	-1.804269	-2.361944	0.246518
0.280	5.710031	-2.355963	667.962978	1.689263	15.532461	-1.811964	-2.325348	0.252898
0.290	5.933731	-2.289090	667.939352	1.739488	15.267107	-1.819691	-2.285703	0.260426
0.300	6.194104	-2.213845	667.964755	1.800424	14.983292	-1.826437	-2.243126	0.269539
0.310	6.487496	-2.134350	668.056605	1.875355	14.682847	-1.831040	-2.197845	0.280718
0.320	6.807175	-2.054780	668.216039	1.966515	14.368121	-1.832415	-2.150221	0.294293
0.330	7.144192	-1.978818	668.424971	2.074091	14.041984	-1.829901	-2.100757	0.310295
0.340	7.488972	-1.908414	668.650777	2.195898	13.707804	-1.823558	-2.050069	0.328407
0.350	7.832996	-1.842613	668.855725	2.327743	13.369362	-1.814276	-1.998841	0.348019
0.360	8.169921	-1.777519	669.005851	2.464261	13.030722	-1.803651	-1.947774	0.368347
0.370	8.495826	-1.707920	669.075430	2.599956	12.696060	-1.793611	-1.897553	0.388589
0.380	8.808756	-1.629964	669.047518	2.730287	12.369474	-1.785828	-1.848818	0.408086
0.390	9.108009	-1.543430	668.913900	2.852612	12.054747	-1.781113	-1.802137	0.426454
0.400	9.393510	-1.452361	668.676551	2.966650	11.755123	-1.779120	-1.757968	0.443660
0.410	9.665325	-1.363874	668.349465	3.074050	11.473173	-1.778589	-1.716643	0.459947
0.420	9.923081	-1.285946	667.958774	3.177068	11.210940	-1.778025	-1.678388	0.475638
0.430	10.165140	-1.225312	667.540355	3.276907	10.970482	-1.776409	-1.643418	0.490893
0.440	10.387640	-1.186234	667.134785	3.372685	10.754649	-1.773523	-1.612065	0.505548
0.450	10.583812	-1.170137	666.779848	3.461618	10.567704	-1.769788	-1.584886	0.519155
0.460	10.743943	-1.175596	666.502613	3.540304	10.415354	-1.765821	-1.562688	0.531176
0.470	10.856214	-1.198228	666.314852	3.606310	10.304138	-1.762038	-1.546437	0.541232
0.480	10.908466	-1.230608	666.214248	3.659242	10.240372	-1.758523	-1.537099	0.549259
0.490	10.890799	-1.262766	666.190501	3.700878	10.228975	-1.755204	-1.535443	0.555528
0.500	10.798436	-1.283937	666.233116	3.734487	10.272345	-1.752156	-1.541855	0.560538
0.510	10.633934	-1.285696	666.337764	3.763717	10.369372	-1.749819	-1.556174	0.564836
0.520	10.407877	-1.265447	666.508851	3.791406	10.514785	-1.748946	-1.577591	0.568846
0.530	10.137869	-1.228278	666.756145	3.818637	10.699210	-1.750287	-1.604666	0.572719
