Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	10.404087	-2.660956	682.125334	-2.221799	-11.322100	-0.099879	1.659827	-0.325717
0.020	9.908420	-2.551194	682.047090	-1.970162	-11.299327	-0.099999	1.656678	-0.288860
0.030	9.465865	-2.419019	681.946595	-1.717217	-11.282189	-0.103603	1.654409	-0.251811
0.040	9.115940	-2.252113	681.803764	-1.464164	-11.274891	-0.113574	1.653686	-0.214749
0.050	8.877945	-2.054002	681.606783	-1.215511	-11.280468	-0.131245	1.654982	-0.178330
0.060	8.747887	-1.843348	681.360162	-0.978112	-11.300338	-0.156127	1.658497	-0.143553
0.070	8.701521	-1.646451	681.090194	-0.758631	-11.334359	-0.186136	1.664149	-0.111385
0.080	8.702930	-1.485748	680.842792	-0.560611	-11.381682	-0.218209	1.671705	-0.082341
0.090	8.716523	-1.369473	680.671891	-0.382602	-11.441973	-0.249145	1.680982	-0.056210
0.100	8.718872	-1.287718	680.621135	-0.218384	-11.516004	-0.276354	1.691985	-0.032086
0.110	8.705903	-1.217074	680.705567	-0.059338	-11.604725	-0.298264	1.704808	-0.008717
0.120	8.691719	-1.131674	680.901765	0.102067	-11.706739	-0.314343	1.719299	0.014990
0.130	8.698516	-1.015388	681.152688	0.269361	-11.815179	-0.324922	1.734586	0.039545
0.140	8.741706	-0.869513	681.386757	0.441055	-11.915678	-0.331066	1.748739	0.064729
0.150	8.817584	-0.712350	681.542713	0.611868	-11.986987	-0.334560	1.758802	0.089777
0.160	8.900391	-0.570625	681.588583	0.775356	-12.004750	-0.337831	1.761290	0.113757
0.170	8.950959	-0.466481	681.527489	0.926586	-11.947344	-0.343595	1.753024	0.135957
0.180	8.932857	-0.406225	681.391201	1.063675	-11.801459	-0.354100	1.731965	0.156103
0.190	8.827686	-0.376603	681.227388	1.187646	-11.565024	-0.370150	1.697674	0.174339
0.200	8.641423	-0.350858	681.085899	1.300849	-11.246229	-0.390328	1.651220	0.190996
0.210	8.398291	-0.301801	681.006432	1.404755	-10.859277	-0.410846	1.594593	0.206276
0.220	8.125277	-0.215460	681.008658	1.498288	-10.418889	-0.426268	1.529920	0.220010
0.230	7.835511	-0.098739	681.086708	1.577656	-9.936098	-0.431019	1.458859	0.231638
0.240	7.519745	0.022340	681.210193	1.637880	-9.417131	-0.421176	1.382412	0.240437
0.250	7.151210	0.112899	681.332548	1.675280	-8.865719	-0.395791	1.301232	0.245883
