Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	-0.102110	16.509010	738.530001	39.618100	-24.059736	-1.644033	3.257787	5.364454
0.020	0.497726	16.077494	735.818464	39.358295	-24.332069	-1.664771	3.306803	5.348914
0.030	1.086292	15.688330	733.164774	39.083439	-24.594446	-1.687274	3.354559	5.330785
0.040	1.646292	15.374225	730.626430	38.780580	-24.836380	-1.712625	3.399327	5.307853
0.050	2.150761	15.151132	728.259661	38.441726	-25.046067	-1.740746	3.439167	5.278574
0.060	2.562475	15.015273	726.112043	38.064117	-25.209987	-1.770198	3.471914	5.242182
0.070	2.837251	14.944883	724.218168	37.648827	-25.313338	-1.798396	3.495264	5.198548
0.080	2.931345	14.906213	722.603046	37.198797	-25.341908	-1.822213	3.507030	5.147888
0.090	2.812229	14.861930	721.293252	36.717406	-25.285283	-1.838863	3.505548	5.090496
0.100	2.470252	14.779255	720.330961	36.208095	-25.140510	-1.846855	3.490133	5.026592
0.110	1.926921	14.635336	719.782940	35.674701	-24.914759	-1.846734	3.461427	4.956314
0.120	1.235424	14.418611	719.736775	35.121555	-24.625540	-1.841312	3.421465	4.879778
0.130	0.471453	14.126726	720.281053	34.552420	-24.297779	-1.835276	3.373375	4.797075
0.140	-0.283806	13.762748	721.473818	33.968091	-23.958401	-1.834160	3.320758	4.708153
0.150	-0.963196	13.331513	723.311136	33.363471	-23.630332	-1.842924	3.266966	4.612603
0.160	-1.528866	12.837217	725.710327	32.725624	-23.328230	-1.864531	3.214537	4.509461
0.170	-1.977619	12.282642	728.517332	32.034305	-23.057486	-1.899033	3.164988	4.397192
0.180	-2.334363	11.669823	731.536892	31.265663	-22.816466	-1.943503	3.118977	4.273969
0.190	-2.636524	11.001495	734.573661	30.398546	-22.600668	-1.992833	3.076705	4.138257
0.200	-2.916141	10.282471	737.468077	29.421446	-22.406897	-2.041007	3.038355	3.989521
0.210	-3.187020	9.520318	740.114862	28.337523	-22.235950	-2.082390	3.004392	3.828801
0.220	-3.441474	8.725210	742.461897	27.165655	-22.093206	-2.112671	2.975669	3.658862
0.230	-3.656029	7.909159	744.495787	25.936975	-21.987461	-2.129353	2.953336	3.483831
0.240	-3.801225	7.084942	746.222525	24.688129	-21.928959	-2.131856	2.938662	3.308414
0.250	-3.849764	6.265086	747.648548	23.453646	-21.927496	-2.121289	2.932861	3.136988
0.260	-3.780380	5.461331	748.764316	22.259890	-21.990807	-2.099967	2.936946	2.972883
