Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	-2.906812	-0.148708	571.582755	18.059890	16.266700	0.049547	-2.845905	3.159628
0.020	-2.706602	-0.598788	572.534292	18.025519	16.467218	0.072062	-2.876198	3.148374
0.030	-2.538301	-1.005271	573.286588	17.980009	16.658489	0.086134	-2.905787	3.136304
0.040	-2.428561	-1.328524	573.682168	17.915447	16.833208	0.085717	-2.934239	3.122887
0.050	-2.392420	-1.540191	573.634297	17.828427	16.987502	0.068475	-2.961382	3.107978
0.060	-2.430844	-1.626695	573.134199	17.719949	17.121107	0.035852	-2.987277	3.091763
0.070	-2.531967	-1.590544	572.238571	17.593755	17.236659	-0.007972	-3.012146	3.074549
0.080	-2.675887	-1.449505	571.045801	17.454074	17.338595	-0.057625	-3.036288	3.056510
0.090	-2.841293	-1.234229	569.672206	17.303769	17.432048	-0.107953	-3.060014	3.037496
0.100	-3.011036	-0.984847	568.236392	17.143416	17.521888	-0.154937	-3.083556	3.016951
0.110	-3.174073	-0.746610	566.852880	16.971380	17.611850	-0.196076	-3.106953	2.993966
0.120	-3.322948	-0.564302	565.630420	16.784643	17.703702	-0.230437	-3.129906	2.967422
0.130	-3.448729	-0.475469	564.669187	16.580062	17.796601	-0.258513	-3.151686	2.936243
0.140	-3.537406	-0.503287	564.053437	16.355688	17.886944	-0.281906	-3.171144	2.899670
0.150	-3.571313	-0.650881	563.839765	16.111784	17.968933	-0.302822	-3.186886	2.857511
0.160	-3.536002	-0.899421	564.044660	15.851188	18.035727	-0.323392	-3.197571	2.810272
0.170	-3.428888	-1.211972	564.637338	15.578787	18.080848	-0.345005	-3.202206	2.759078
0.180	-3.264047	-1.543323	565.542870	15.300128	18.099368	-0.367866	-3.200353	2.705388
0.190	-3.069466	-1.853125	566.655881	15.019580	18.088585	-0.390946	-3.192164	2.650565
