Time[s]	Fx[N]	Fy[N]	Fz[N]	Mx[Nm]	My[Nm]	Mz[Nm]	COPx[cm]	COPy[cm]
0.010	3.325976	2.405559	559.344314	4.561171	-8.491336	-0.371767	1.518087	0.815450
0.020	3.548314	2.358891	556.960024	4.539677	-8.813041	-0.345903	1.582347	0.815081
0.030	3.749340	2.313926	554.574474	4.517937	-9.125712	-0.322033	1.645534	0.814667
0.040	3.912106	2.270322	552.217042	4.493812	-9.422363	-0.301755	1.706279	0.813776
0.050	4.026912	2.225549	549.963955	4.461657	-9.698604	-0.285985	1.763498	0.811263
0.060	4.092628	2.174910	547.929049	4.412938	-9.952394	-0.274757	1.816365	0.805385
0.070	4.115712	2.112355	546.236296	4.338383	-10.182920	-0.267175	1.864197	0.794232
0.080	4.107008	2.031884	544.987076	4.230788	-10.389333	-0.261649	1.906345	0.776310
0.090	4.077325	1.929246	544.236590	4.087356	-10.570166	-0.256415	1.942201	0.751026
0.100	4.033620	1.803445	543.988181	3.910658	-10.723829	-0.250202	1.971335	0.718887
0.110	3.977490	1.657450	544.205367	3.707975	-10.849874	-0.242706	1.993709	0.681356
0.120	3.906602	1.497675	544.834206	3.489527	-10.950299	-0.234632	2.009841	0.640475
0.130	3.818182	1.332453	545.825794	3.266388	-11.030283	-0.227256	2.020843	0.598431
0.140	3.712814	1.170248	547.149848	3.048697	-11.098136	-0.221760	2.028354	0.557196
0.150	3.596813	1.018210	548.793562	2.844422	-11.164525	-0.218686	2.034376	0.518305
0.160	3.482245	0.881255	550.744789	2.658689	-11.241095	-0.217772	2.041071	0.482744
0.170	3.384727	0.761712	552.965156	2.493567	-11.338558	-0.218149	2.050501	0.450945
0.180	3.319813	0.659816	555.364859	2.348256	-11.464522	-0.218704	2.064323	0.422831
0.190	3.299027	0.575106	557.792460	2.219641	-11.621701	-0.218419	2.083517	0.397933
0.200	3.326734	0.507957	560.047291	2.103146	-11.807320	-0.216604	2.108272	0.375530
0.210	3.399100	0.459847	561.912088	1.993711	-12.014148	-0.212994	2.138083	0.354808
0.220	3.505789	0.431552	563.195032	1.886746	-12.232765	-0.207700	2.172030	0.335008
0.230	3.633705	0.420025	563.767275	1.778983	-12.454112	-0.201011	2.209087	0.315553
0.240	3.770837	0.416085	563.584604	1.669097	-12.671325	-0.193139	2.248345	0.296157
0.250	3.908333	0.404888	562.688165	1.557793	-12.880409	-0.184073	2.289085	0.276848
0.260	4.040147	0.369526	561.187013	1.447128	-13.079843	-0.173610	2.330746	0.257869
0.270	4.161167	0.296208	559.231759	1.339223	-13.269656	-0.161474	2.372837	0.239476
0.280	4.265570	0.178630	556.990638	1.234933	-13.450648	-0.147390	2.414879	0.221715
0.290	4.346878	0.019658	554.635727	1.133141	-13.624241	-0.131151	2.456430	0.204304
0.300	4.399921	-0.170117	552.339731	1.031143	-13.793025	-0.112771	2.497199	0.186686
0.310	4.423554	-0.375867	550.276859	0.925982	-13.961511	-0.092760	2.537179	0.168276
0.320	4.422497	-0.582233	548.618456	0.816102	-14.136326	-0.072307	2.576713	0.148756
0.330	4.407284	-0.775758	547.516922	0.702451	-14.325334	-0.053195	2.616419	0.128298
0.340	4.392294	-0.945662	547.078578	0.588431	-14.535769	-0.037398	2.656980	0.107559
0.350	4.392555	-1.083562	547.334333	0.478770	-14.771982	-0.026498	2.698896	0.087473
0.360	4.420280	-1.183035	548.221511	0.377934	-15.033646	-0.021136	2.742258	0.068938
0.370	4.482098	-1.239727	549.587670	0.288873	-15.315092	-0.020712	2.786651	0.052562
0.380	4.577635	-1.252191	551.218592	0.212528	-15.606137	-0.023471	2.831207	0.038556
0.390	4.699765	-1.223097	552.882775	0.148171	-15.894297	-0.026962	2.874804	0.026800
0.400	4.836332	-1.160032	554.378281	0.094254	-16.167754	-0.028739	2.916376	0.017002
0.410	4.972838	-1.075083	555.566725	0.049305	-16.418109	-0.027031	2.955200	0.008875
0.420	5.095366	-0.983060	556.384092	0.012496	-16.641928	-0.021155	2.991086	0.002246
0.430	5.193222	-0.898838	556.828486	-0.016225	-16.840593	-0.011568	3.024377	-0.002914
0.440	5.261019	-0.834649	556.935535	-0.036398	-17.018739	0.000403	3.055783	-0.006535
